Symbol|shortName|dividendRate|previousClose|currentPrice|dividendYield|payoutRatio|quoteType|lastDividendValue|date|message|ExDividendDate|DividendDate|Earnings Date|payoutdate|buy_date|hist|insight|symbol|dividend|Ex-Dividend Date|Dividend Date
| WEC Energy Group  Inc. |3.57|106.22|107.55|3.32|69.15|EQUITY||2025-02-14| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-29|2025-03-01|2025-02-13| This is line with previous dividend. |  WEC first paid dividend 40 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 7.12% |WEC|0.893|2025-02-14|2025-02-28
| First Citizens BancShares  Inc. |7.8|1880.07|1835.1|0.43|3.63|EQUITY||2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-23|2025-03-17|2025-02-27| This is line with previous dividend. |  FCNCA first paid dividend 40 years ago but dividends are growing only for 37 years. Dividend Growth Rate for last 5 years is 37.28% |FCNCA|1.95|2025-02-28|2025-03-16
| eBay Inc. |1.16|66.81|67.16|1.73|27.34|EQUITY||2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-29|2025-03-28|2025-03-13| This is line with previous dividend. |  EBAY first paid dividend 7 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 12.63% |EBAY|0.29|2025-03-14|2025-03-27
| Tradeweb Markets Inc. |0.48|146.26|146.77|0.33|17.17|EQUITY||2025-03-03| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-30|2025-03-17|2025-03-02| This is line with previous dividend. |  TW first paid dividend 7 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 14.47% |TW|0.12|2025-03-03|2025-03-16
| Restaurant Brands International |2.48|68.74|64.52|3.84|72.96|EQUITY||2025-03-21| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-08|2025-04-04|2025-03-20| This is line with previous dividend. |  QSR first paid dividend 11 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 3.58% |QSR|0.62|2025-03-21|2025-04-03
| Kering SA |1.23|21.82|21.46|5.72|151.79|EQUITY||2024-04-30| Payout Ratio falls within the  high risk  range (>75%). |||2025-02-11|2025-01-31|2025-01-12| This is line with previous dividend. | PPRUY dividend growth is zero. |PPRUY|1.009|2025-01-13|2025-01-30
| Brown & Brown  Inc. |0.6|122.9|122.93|0.49|15.61|EQUITY||2025-02-05| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-21|2025-02-12|2025-02-04| This is line with previous dividend. |  BRO first paid dividend 39 years ago but dividends are growing only for 27 years. Dividend Growth Rate for last 5 years is 12.03% |BRO|0.15|2025-02-05|2025-02-11
| Heico Corporation |0.22|268.63|266.06|0.08|5.43|EQUITY||2025-01-03| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-26|2025-01-17|2025-01-02| This is line with previous dividend. |  HEI first paid dividend 39 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 6.58% |HEI|0.11|2025-01-03|2025-01-16
| Cardinal Health  Inc. |2.02|136.65|136.44|1.48|37.57|EQUITY||2025-01-02| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-01|2025-04-15|2025-03-31| This is line with previous dividend. |  CAH first paid dividend 40 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 1.02% |CAH|0.506|2025-04-01|2025-04-14
| Global Payments Inc. |1.0|99.47|97.52|1.03|16.23|EQUITY||2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-29|2025-03-28|2025-03-13| This is line with previous dividend. |  GPN first paid dividend 25 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 6.41% |GPN|0.25|2025-03-14|2025-03-27
| Hewlett Packard Enterprise Comp |0.52|15.94|15.79|3.29|25.0|EQUITY||2025-03-21| Payout Ratio falls within the  low risk  range (<35%). |||2025-06-02|2025-04-18|2025-03-20| This is line with previous dividend. | HPE dividend growth is zero. |HPE|0.13|2025-03-21|2025-04-17
| Xylem Inc. |1.6|122.02|119.44|1.34|39.45|EQUITY||2025-02-18| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-29|2025-03-19|2025-02-17| This is line with previous dividend. |  XYL first paid dividend 15 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 9.00% |XYL|0.4|2025-02-18|2025-03-18
| Banco Santander Brasil SA |0.29|4.81|4.76|6.02|94.4|EQUITY||2024-10-21| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-28|2025-02-24|2025-01-23| This is line with previous dividend. | BSBR dividend growth is zero. |BSBR|0.071|2025-01-24|2025-02-23
| State Street Corporation |3.04|91.78|89.04|3.41|35.32|EQUITY||2025-01-02| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-17|2025-04-11|2025-03-31| This is line with previous dividend. |  STT first paid dividend 39 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 7.89% |STT|0.76|2025-04-01|2025-04-10
| EQT Corporation |0.63|52.32|53.01|1.19|140.0|EQUITY||2025-02-18| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-21|2025-03-03|2025-02-17| This is line with previous dividend. |  EQT first paid dividend 38 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 2.63% |EQT|0.158|2025-02-18|2025-03-02
| Fifth Third Bancorp |1.48|39.77|38.81|3.81|45.86|EQUITY||2024-12-31| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-17|2025-04-15|2025-03-30| This is line with previous dividend. | FITB dividend growth is zero. |FITB|0.37|2025-03-31|2025-04-14
| Texas Pacific Land Corporation |6.4|1331.91|1305.71|0.49|25.9|EQUITY||2025-03-03| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-06|2025-03-17|2025-03-02| This is line with previous dividend. |  TPL first paid dividend 37 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 36.75% |TPL|1.6|2025-03-03|2025-03-16
| Kellanova |2.28|82.45|82.47|2.76|58.25|EQUITY||2025-03-03| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-30|2025-03-14|2025-03-02| This is line with previous dividend. |  K first paid dividend 42 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 1.79% |K|0.57|2025-03-03|2025-03-13
| Cenovus Energy Inc |0.5|14.09|13.78|3.65|48.8|EQUITY||2024-09-13| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-29|2025-03-31|2025-03-13| This is line with previous dividend. | CVE dividend growth is zero. |CVE|0.133|2025-03-14|2025-03-30
| Tractor Supply Company |0.92|54.16|53.47|1.72|43.14|EQUITY||2025-02-26| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-23|2025-03-11|2025-02-25| This is line with previous dividend. |  TSCO first paid dividend 16 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -79.09% |TSCO|0.23|2025-02-26|2025-03-10
| Barrick Gold Corporation |0.4|19.56|19.14|2.09|32.79|EQUITY||2024-08-30| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-29|2025-03-17|2025-02-27| This is line with previous dividend. | GOLD dividend growth is zero. |GOLD|0.1|2025-02-28|2025-03-16
| Dow Inc. |2.8|35.24|34.36|8.15|178.34|EQUITY||2025-02-28| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-24|2025-03-14|2025-02-27| This is line with previous dividend. | DOW dividend growth is zero. |DOW|0.7|2025-02-28|2025-03-13
| Equity Residential |2.77|71.26|71.38|3.88|99.26|EQUITY||2025-01-02| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-21|2025-04-17|2025-03-30| This is line with previous dividend. |  EQR first paid dividend 33 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 2.28% |EQR|0.675|2025-03-31|2025-04-16
| Smurfit WestRock plc |2.31|45.4|44.51|5.19|228.5|EQUITY||2024-11-15| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-10|2025-03-18|2025-02-13| This is line with previous dividend. | SW dividend growth is zero. |SW|0.303|2025-02-14|2025-03-17
| Nucor Corporation |2.2|127.47|121.95|1.8|25.65|EQUITY||2024-12-31| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-28|2025-05-12|2025-03-30| This is line with previous dividend. | NUE dividend growth is zero. |NUE|0.55|2025-03-31|2025-05-11
| Cheniere Energy Partners  LP |3.25|63.69|63.94|5.08|81.53|EQUITY||2025-02-10| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-01|2025-02-14|2025-02-09| This is line with previous dividend. |  CQP first paid dividend 19 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 1.23% |CQP|0.82|2025-02-10|2025-02-13
| Broadridge Financial Solutions  |3.52|238.89|237.51|1.48|52.58|EQUITY||2025-03-13| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-06|2025-04-03|2025-03-12| This is line with previous dividend. |  BR first paid dividend 19 years ago but dividends are growing only for 17 years. Dividend Growth Rate for last 5 years is 10.26% |BR|0.88|2025-03-13|2025-04-02
| PPG Industries  Inc. |2.72|108.36|107.44|2.53|46.5|EQUITY||2025-02-21| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-16|2025-03-12|2025-02-20| This is line with previous dividend. |  PPG first paid dividend 43 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 5.92% |PPG|0.68|2025-02-21|2025-03-11
| Publicis Groupe S.A. |0.91|24.36|24.31|3.73|51.97|EQUITY||2024-07-08| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-02-04|2024-07-23|2024-07-07| This is line with previous dividend. | PUBGY dividend growth is zero. |PUBGY|0.056|2024-07-08|2024-07-22
| Fortive Corporation |0.32|74.59|72.63|0.44|13.56|EQUITY||2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-22|2025-03-28|2025-02-27| This is line with previous dividend. | FTV dividend growth is zero. |FTV|0.08|2025-02-28|2025-03-27
| NOVONESIS A S |0.91|58.48|58.56|1.55|79.57|EQUITY||2024-09-09| Payout Ratio falls within the  high risk  range (>75%). |||2025-02-26|2024-09-18|2025-04-06| This is line with previous dividend. | NVZMY dividend growth is zero. |NVZMY|0.298|2025-04-07|2024-09-17
| Wheaton Precious Metals Corp |0.66|76.62|76.84|0.86|53.22|EQUITY||2024-08-21| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-08|2025-04-11|2025-03-31| This is line with previous dividend. | WPM dividend growth is zero. |WPM|0.155|2025-04-01|2025-04-10
| Estee Lauder Companies  Inc. (T |1.4|66.95|65.42|2.14|471.43|EQUITY||2025-02-28| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-01|2025-03-17|2025-02-27| This is line with previous dividend. | EL dividend growth is zero. |EL|0.35|2025-02-28|2025-03-16
| Dover Corporation |2.06|179.15|174.65|1.18|20.32|EQUITY||2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-23|2025-03-14|2025-02-27| This is line with previous dividend. |  DOV first paid dividend 44 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 1.00% |DOV|0.515|2025-02-28|2025-03-13
| Synchrony Financial |1.0|54.16|52.43|1.91|11.7|EQUITY||2025-02-03| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-22|2025-02-18|2025-02-02| This is line with previous dividend. | SYF dividend growth is zero. |SYF|0.25|2025-02-03|2025-02-17
| Church & Dwight Company  Inc. |1.18|108.39|109.11|1.08|47.89|EQUITY||2025-02-14| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-30|2025-03-03|2025-02-13| This is line with previous dividend. |  CHD first paid dividend 36 years ago but dividends are growing only for 22 years. Dividend Growth Rate for last 5 years is 4.21% |CHD|0.295|2025-02-14|2025-03-02
| T. Rowe Price Group  Inc. |5.08|94.7|91.57|5.55|54.21|EQUITY||2025-03-14| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-24|2025-03-28|2025-03-13| This is line with previous dividend. |  TROW first paid dividend 40 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 4.13% |TROW|1.27|2025-03-14|2025-03-27
| DTE Energy Company |4.36|135.2|136.57|3.19|61.3|EQUITY||2025-03-17| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-23|2025-04-15|2025-03-16| This is line with previous dividend. |  DTE first paid dividend 64 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 4.23% |DTE|1.09|2025-03-17|2025-04-14
| LPL Financial Holdings Inc. |1.2|333.19|336.89|0.36|8.55|EQUITY||2025-03-11| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-28|2025-03-25|2025-03-10| This is line with previous dividend. | LPLA dividend growth is zero. |LPLA|0.3|2025-03-11|2025-03-24
| Veralto Corp |0.44|97.89|96.04|0.46|11.38|EQUITY||2024-12-31| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-21|2025-04-30|2025-03-30| This is line with previous dividend. | VLTO dividend growth is zero. |VLTO|0.11|2025-03-31|2025-04-29
| Ventas  Inc. |1.92|67.97|68.76|2.79|947.37|EQUITY||2024-12-31| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-29|2025-04-17|2025-03-30| This is line with previous dividend. | VTR dividend growth is zero. |VTR|0.45|2025-03-31|2025-04-16
| West Pharmaceutical Services  I |0.84|226.06|222.2|0.38|12.11|EQUITY||2025-02-07| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-23|2025-05-07|2025-04-29| This is line with previous dividend. |  WST first paid dividend 39 years ago but dividends are growing only for 23 years. Dividend Growth Rate for last 5 years is 5.59% |WST|0.21|2025-04-30|2025-05-06
| Halliburton Company |0.68|25.34|25.07|2.71|24.03|EQUITY||2025-03-05| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-22|2025-03-26|2025-03-04| This is line with previous dividend. | HAL dividend growth is zero. |HAL|0.17|2025-03-05|2025-03-25
| Nokia Corporation Sponsored |0.14|5.2|5.21|2.67|42.04|EQUITY||2024-10-22| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-24|2025-02-18|2025-02-03| This is line with previous dividend. | NOK dividend growth is zero. |NOK|0.032|2025-02-04|2025-02-17
| American Water Works Company  I |3.06|143.06|146.24|2.09|55.71|EQUITY||2025-02-07| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-30|2025-03-04|2025-02-06| This is line with previous dividend. |  AWK first paid dividend 18 years ago but dividends are growing only for 16 years. Dividend Growth Rate for last 5 years is 6.82% |AWK|0.765|2025-02-07|2025-03-03
| TPG Inc. |1.74|49.54|47.71|3.65|1928.57|EQUITY||2025-02-21| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-05|2025-03-07|2025-02-20| This is line with previous dividend. |  TPG first paid dividend 4 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 29.27% |TPG|0.53|2025-02-21|2025-03-06
| Archer-Daniels-Midland Company |2.04|48.28|47.87|4.26|54.79|EQUITY||2025-02-18| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-28|2025-03-11|2025-02-17| This is line with previous dividend. |  ADM first paid dividend 43 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 7.21% |ADM|0.51|2025-02-18|2025-03-10
| Ameren Corporation |2.84|98.63|99.7|2.85|60.63|EQUITY||2025-03-11| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-30|2025-03-31|2025-03-10| This is line with previous dividend. |  AEE first paid dividend 28 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 7.48% |AEE|0.71|2025-03-11|2025-03-30
| PPL Corporation |1.09|34.98|35.71|3.05|85.83|EQUITY||2025-03-10| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-29|2025-04-01|2025-03-09| This is line with previous dividend. |  PPL first paid dividend 41 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 6.66% |PPL|0.273|2025-03-10|2025-03-31
| NetApp  Inc. |2.08|91.09|88.4|2.35|38.15|EQUITY||2025-01-03| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-29|2025-04-23|2025-04-03| This is line with previous dividend. |  NTAP first paid dividend 13 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 2.02% |NTAP|0.52|2025-04-04|2025-04-22
| Huntington Bancshares Incorpora |0.62|15.12|14.79|4.19|50.82|EQUITY||2025-03-18| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-17|2025-04-01|2025-03-17| This is line with previous dividend. |  HBAN first paid dividend 40 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 0.66% |HBAN|0.155|2025-03-18|2025-03-31
| LyondellBasell Industries NV |5.36|70.95|69.82|7.68|127.29|EQUITY||2025-03-10| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-25|2025-03-17|2025-03-09| This is line with previous dividend. |  LYB first paid dividend 15 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 3.54% |LYB|1.34|2025-03-10|2025-03-16
| Franco-Nevada Corporation |1.52|157.24|155.47|0.98|50.17|EQUITY||2024-09-12| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-28|2025-03-27|2025-03-12| This is line with previous dividend. | FNV dividend growth is zero. |FNV|0.36|2025-03-13|2025-03-26
| Williams-Sonoma  Inc. |2.64|164.42|158.98|1.66|25.88|EQUITY||2025-01-17| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-20|2025-05-24|2025-04-16| This is line with previous dividend. |  WSM first paid dividend 20 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 18.89% |WSM|0.57|2025-04-17|2025-05-23
| Telefonica SA |0.32|4.62|4.63|6.87|111.21|EQUITY||2024-06-18| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-14|2025-01-10|2024-12-17| This is line with previous dividend. | TEF dividend growth is zero. |TEF|0.163|2024-12-18|2025-01-09
| Ryanair Holdings plc |0.94|45.25|43.42|2.15|23.56|EQUITY||2024-09-13| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-19|2025-03-10|2025-01-16| This is line with previous dividend. | RYAAY dividend growth is zero. |RYAAY|0.963|2025-01-17|2025-03-09
| CDW Corporation |2.5|163.84|161.51|1.55|31.18|EQUITY||2025-02-25| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-29|2025-03-11|2025-02-24| This is line with previous dividend. |  CDW first paid dividend 13 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 10.46% |CDW|0.625|2025-02-25|2025-03-10
| Nutrien Ltd. |2.18|50.9|50.1|4.35|158.82|EQUITY||2024-12-31| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-07|2025-04-10|2025-03-30| This is line with previous dividend. | NTR dividend growth is zero. |NTR|0.54|2025-03-31|2025-04-09
| Expand Energy Corporation |2.3|109.64|110.94|2.07|141.1|EQUITY||2025-03-11| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-28|2025-03-27|2025-03-10| This is line with previous dividend. | EXE dividend growth is zero. |EXE|0.575|2025-03-11|2025-03-26
| FirstEnergy Corp. |1.78|39.45|40.06|4.44|99.12|EQUITY||2025-02-07| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-23|2025-06-01|2025-05-06| This is line with previous dividend. |  FE first paid dividend 28 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 4.39% |FE|0.425|2025-05-07|2025-05-31
| Brookfield Asset Management Inc |1.75|50.41|48.5|3.61|118.75|EQUITY||2025-02-28| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-06|2025-03-31|2025-02-27| This is line with previous dividend. |  BAM first paid dividend 3 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 16.99% |BAM|0.438|2025-02-28|2025-03-30
| Cameco Corporation |0.11|42.63|41.83|0.27|41.03|EQUITY||2024-11-27| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-01|2024-12-13|2024-11-26| This is line with previous dividend. | CCJ dividend growth is zero. |CCJ|0.114|2024-11-27|2024-12-12
| Hubbell Inc |5.28|342.0|332.01|1.59|34.66|EQUITY||2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-28|2025-03-17|2025-02-27| This is line with previous dividend. |  HUBB first paid dividend 42 years ago but dividends are growing only for 16 years. Dividend Growth Rate for last 5 years is 7.72% |HUBB|1.32|2025-02-28|2025-03-16
| STMicroelectronics N.V. |0.36|0.0|22.78|1.58|19.88|EQUITY||2025-03-24| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-23|2018-03-27|2025-06-22| This is line with previous dividend. |  STMEF first paid dividend 13 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00% |STMEF|0.09|2025-06-23|2018-03-26
| PulteGroup  Inc. |0.88|105.04|101.74|0.86|5.58|EQUITY||2025-03-18| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-22|2025-04-02|2025-03-17| This is line with previous dividend. |  PHM first paid dividend 37 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 12.89% |PHM|0.22|2025-03-18|2025-04-01
| Rollins  Inc. |0.66|53.78|53.06|1.24|64.06|EQUITY||2025-02-25| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-22|2025-03-10|2025-02-24| This is line with previous dividend. |  ROL first paid dividend 39 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 18.17% |ROL|0.165|2025-02-25|2025-03-09
| Devon Energy Corporation |0.96|36.88|36.76|2.61|31.8|EQUITY||2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-06|2025-03-31|2025-03-13| This is line with previous dividend. |  DVN first paid dividend 33 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -31.43% |DVN|0.24|2025-03-14|2025-03-30
| ASE Technology Holding Co.  Ltd |0.32|9.28|8.8|3.59|71.43|EQUITY||2024-07-02| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-23|2024-08-05|2024-07-01| This is line with previous dividend. | ASX dividend growth is zero. |ASX|0.322|2024-07-02|2024-08-04
| Cincinnati Financial Corporatio |3.48|147.54|145.55|2.39|22.3|EQUITY||2025-03-24| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-23|2025-04-15|2025-03-23| This is line with previous dividend. |  CINF first paid dividend 40 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 7.71% |CINF|0.87|2025-03-24|2025-04-14
| W.R. Berkley Corporation |0.32|66.28|71.27|0.45|7.19|EQUITY||2025-03-03| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-21|2025-03-12|2025-03-02| This is line with previous dividend. | WRB dividend growth is zero. |WRB|0.08|2025-03-03|2025-03-11
| Darden Restaurants  Inc. |5.6|207.99|205.13|2.73|62.05|EQUITY||2025-01-10| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-06-18|2025-05-01|2025-04-09| This is line with previous dividend. |  DRI first paid dividend 31 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 36.08% |DRI|1.4|2025-04-10|2025-04-30
| KE Holdings Inc |0.36|21.19|20.59|1.75|72.4|EQUITY||2024-04-04| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-21|2025-04-25|2025-04-08| This is line with previous dividend. | BEKE dividend growth is zero. |BEKE|0.351|2025-04-09|2025-04-24
| Fox Corporation |0.54|54.92|54.73|0.99|11.37|EQUITY||2025-03-05| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-06|2025-03-26|2025-03-04| This is line with previous dividend. |  FOXA first paid dividend 7 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 2.99% |FOXA|0.27|2025-03-05|2025-03-25
| Lennox International  Inc. |4.6|577.32|553.05|0.83|20.19|EQUITY||2024-12-31| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-22|2025-05-15|2025-04-29| This is line with previous dividend. | LII dividend growth is zero. |LII|1.15|2025-04-30|2025-05-14
| Vodafone Group Plc |0.72|9.36|9.45|7.63|101.44|EQUITY||2024-11-22| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-20|2025-02-07|2024-11-21| This is line with previous dividend. | VOD dividend growth is zero. |VOD|0.242|2024-11-22|2025-02-06
| SBA Communications Corporation |4.44|216.38|216.84|2.05|56.48|EQUITY||2025-03-13| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-28|2025-03-27|2025-03-12| This is line with previous dividend. |  SBAC first paid dividend 7 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 19.01% |SBAC|1.11|2025-03-13|2025-03-26
| BCE  Inc. |2.77|23.16|22.97|12.04|2216.67|EQUITY||2024-12-16| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-08|2025-04-15|2025-03-13| This is line with previous dividend. | BCE dividend growth is zero. |BCE|0.695|2025-03-14|2025-04-14
| EMCOR Group  Inc. |1.0|379.33|370.87|0.27|4.32|EQUITY||2025-01-16| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-23|2025-01-31|2025-01-15| This is line with previous dividend. |  EME first paid dividend 15 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 24.36% |EME|0.25|2025-01-16|2025-01-30
| Erie Indemnity Company |5.46|419.55|410.66|1.33|45.21|EQUITY||2025-01-07| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-23|2025-04-22|2025-04-06| This is line with previous dividend. |  ERIE first paid dividend 30 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 7.16% |ERIE|1.365|2025-04-07|2025-04-21
| Atmos Energy Corporation |3.48|150.94|152.46|2.28|47.06|EQUITY||2025-02-25| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-06|2025-03-10|2025-02-24| This is line with previous dividend. |  ATO first paid dividend 37 years ago but dividends are growing only for 36 years. Dividend Growth Rate for last 5 years is 8.64% |ATO|0.87|2025-02-25|2025-03-09
| Pembina Pipeline Corp. |1.93|39.87|39.93|4.83|91.25|EQUITY||2024-09-16| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-07|2025-03-31|2025-03-16| This is line with previous dividend. | PBA dividend growth is zero. |PBA|0.508|2025-03-17|2025-03-30
| Regions Financial Corporation |1.0|21.93|21.42|4.67|50.78|EQUITY||2025-03-03| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-17|2025-04-01|2025-03-02| This is line with previous dividend. |  RF first paid dividend 40 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 12.69% |RF|0.25|2025-03-03|2025-03-31
| Teradyne  Inc. |0.48|85.68|82.78|0.58|14.46|EQUITY||2025-02-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-22|2025-03-14|2025-02-13| This is line with previous dividend. | TER dividend growth is zero. |TER|0.12|2025-02-14|2025-03-13
| International Flavors & Fragran |1.6|78.18|76.48|2.09|168.42|EQUITY||2025-03-21| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-05|2025-04-11|2025-03-20| This is line with previous dividend. | IFF dividend growth is zero. |IFF|0.4|2025-03-21|2025-04-10
| Eversource Energy (D/B/A) |3.01|60.3|61.12|4.92|125.99|EQUITY||2025-03-04| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-29|2025-03-31|2025-03-03| This is line with previous dividend. |  ES first paid dividend 42 years ago but dividends are growing only for 24 years. Dividend Growth Rate for last 5 years is 5.80% |ES|0.753|2025-03-04|2025-03-30
| Teck Resources Ltd |0.35|39.32|37.45|0.93|17.18|EQUITY||2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-24|2025-03-31|2025-03-13| This is line with previous dividend. | TECK dividend growth is zero. |TECK|0.087|2025-03-14|2025-03-30
