Symbol,shortName,dividendRate,lastDividendValue,previousClose,currentPrice,dividendYield,payoutRatio,quoteType,trailingAnnualDividendRate,trailingAnnualDividendYield,AnnualRate,message,DividendDate,ExDividendDate,EarningsDate,payoutdate,buy_date,hist,insight
PHTCF,PLDT INC,0.4425,0.885,22.5,22.5,786.0,77.47,EQUITY,96.0,4.266667,1.77,"Payout Ratio falls within the ""high risk"" range (>75%).",2018-04-26,2024-08-23,2025-02-27,2018-04-27,2024-08-22,Reflecting a 0.5% cut., PHTCF first paid dividend 11 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 7.53%
CBT,Cabot Corporation,0.43,0.43,84.89,87.0,202.99999999999997,22.5,EQUITY,1.69,0.019908117,1.72,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-13,2025-02-28,2025-05-05,2025-03-14,2025-02-27,This is line with previous dividend., CBT first paid dividend 40 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 4.20%
KRC,Kilroy Realty Corporation,0.54,0.54,33.27,34.06,634.0,122.03,EQUITY,2.16,0.06492335,2.16,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-01-07,2025-03-31,2025-04-30,2025-01-08,2025-03-30,This is line with previous dividend., KRC first paid dividend 28 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 2.17%
SLG,SL Green Realty Corp,0.7725,0.258,63.41,64.17,482.0,3759.38,EQUITY,3.008,0.04743731,3.09,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-16,2025-02-28,2025-04-15,2025-03-17,2025-02-27,Reflecting a 199.41860465116278% increase., SLG first paid dividend 29 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 3.20%
NEU,NewMarket Corp,2.5,2.5,554.89,562.73,178.0,20.74,EQUITY,10.0,0.01802159,10.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-01-01,2024-12-16,2025-04-22,2025-01-02,2024-12-15,This is line with previous dividend., NEU first paid dividend 35 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 5.64%
IBP,"Installed Building Products, In",0.35,0.35,165.32,170.99,85.0,15.329999999999998,EQUITY,1.38,0.008347447,1.4,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-12-30,2024-12-13,2025-02-27,2024-12-31,2024-12-12,This is line with previous dividend., IBP first paid dividend 4 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -82.05%
BKGFY,Berkeley Group Holdings Plc.,0.0425,0.445,9.59,9.58,181.0,18.42,EQUITY,0.672,0.07007299,0.17,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-10-06,2024-09-06,2024-12-06,2024-10-07,2024-09-05,Reflecting a 0.0920674670398468% cut., BKGFY first paid dividend 11 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 429.76%
SEE,Sealed Air Corporation,0.2,0.2,32.13,34.0,249.00000000000003,29.520000000000003,EQUITY,0.0,0.0,0.8,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-12-19,2025-03-14,2025-04-30,2024-12-20,2025-03-13,This is line with previous dividend., SEE first paid dividend 22 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 4.56%
OZK,Bank OZK,0.42,0.42,47.2,48.02,350.0,25.330000000000002,EQUITY,1.58,0.033474576,1.68,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-01-20,2025-01-14,2025-04-15,2025-01-21,2025-01-13,This is line with previous dividend., OZK first paid dividend 28 years ago but dividends are growing only for 16 years. Dividend Growth Rate for last 5 years is 9.24%
WTM,White Mountains Insurance Group,0.25,1.0,1818.58,1826.89,5.0,1.11,EQUITY,1.0,0.00054987957,1.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-03-19,2024-03-08,2025-05-07,2024-03-20,2024-03-07,Reflecting a 0.25% cut., WTM first paid dividend 35 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
ACT,"Enact Holdings, Inc.",0.185,0.185,33.23,33.83,223.0,16.360001,EQUITY,0.74,0.022269035,0.74,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-13,2025-02-21,2025-04-29,2025-03-14,2025-02-20,This is line with previous dividend., ACT first paid dividend 5 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 15.62%
NXST,"Nexstar Media Group, Inc.",1.86,1.86,150.59,149.23,499.0,37.26,EQUITY,6.42,0.042632315,7.44,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-02-25,2025-02-12,2025-02-27,2025-02-26,2025-02-11,This is line with previous dividend., NXST first paid dividend 13 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 27.13%
TKR,Timken Company (The),0.34,0.34,79.75,79.62,171.0,27.05,EQUITY,1.35,0.0169279,1.36,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-06,2025-02-25,2025-04-28,2025-03-07,2025-02-24,This is line with previous dividend., TKR first paid dividend 40 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 3.96%
SKLTY,Seek Ltd,0.13,0.212,32.56,30.6,171.0,159.89,EQUITY,0.4,0.012285012,0.52,"Payout Ratio falls within the ""high risk"" range (>75%).",2024-10-17,2025-03-19,2025-02-17,2024-10-18,2025-03-18,Reflecting a 0.6132075471698114% cut., SKLTY first paid dividend 4 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -14.52%
CTRE,"CareTrust REIT, Inc.",0.29,0.29,25.04,25.97,447.0,145.0,EQUITY,1.16,0.046325877,1.16,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-01-14,2024-12-31,2025-04-30,2025-01-15,2024-12-30,This is line with previous dividend., CTRE first paid dividend 11 years ago but dividends are growing only for 7 years. Dividend Growth Rate for last 5 years is 3.01%
UBSI,"United Bankshares, Inc.",0.37,0.37,35.37,35.39,418.0,53.82,EQUITY,1.48,0.041843373,1.48,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-01-01,2025-03-14,2025-04-23,2025-01-02,2025-03-13,This is line with previous dividend., UBSI first paid dividend 38 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
VLY,Valley National Bancorp,0.11,0.11,9.49,9.51,463.0,63.77,EQUITY,0.44,0.046364594,0.44,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-31,2025-03-14,2025-04-23,2025-04-01,2025-03-13,This is line with previous dividend., VLY first paid dividend 35 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
FFIN,"First Financial Bankshares, Inc",0.18,0.18,36.77,37.21,193.0,46.150002,EQUITY,0.72,0.01958118,0.72,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-31,2025-03-14,2025-04-16,2025-04-01,2025-03-13,This is line with previous dividend., FFIN first paid dividend 32 years ago but dividends are growing only for 9 years. Dividend Growth Rate for last 5 years is 8.45%
LEA,Lear Corporation,0.77,0.77,97.02,97.99,314.0,34.339999999999996,EQUITY,3.08,0.031746034,3.08,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-25,2025-03-06,2025-04-28,2025-03-26,2025-03-05,This is line with previous dividend., LEA first paid dividend 14 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
PECO,"Phillips Edison & Company, Inc.",0.3075,0.103,35.48,36.11,347.0,233.32999999999998,EQUITY,1.19,0.033540025,1.23,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-04-30,2025-03-17,2025-04-23,2025-05-01,2025-03-16,Reflecting a 198.54368932038838% increase., PECO first paid dividend 5 years ago but dividends are growing only for 0 years. Dividend Growth Rate for last 0 years is 0.00%
BEPC,Brookfield Renewable Corporatio,0.3725,0.355,28.0,28.42,525.0,108.09,EQUITY,1.438,0.051357143,1.49,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-30,2025-02-28,2025-05-01,2025-03-31,2025-02-27,Reflecting a 4.929577464788748% increase., BEPC first paid dividend 5 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 4.18%
HXL,Hexcel Corporation,0.17,0.17,62.42,62.34,109.00000000000001,37.74,EQUITY,0.6,0.009612304,0.68,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-02-13,2025-02-07,2025-04-21,2025-02-14,2025-02-06,This is line with previous dividend., HXL first paid dividend 16 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 19.35%
SWX,"Southwest Gas Holdings, Inc.",0.62,0.62,77.17,77.28,321.0,99.2,EQUITY,2.48,0.032136843,2.48,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-06-01,2025-05-15,2025-02-26,2025-06-02,2025-05-14,This is line with previous dividend., SWX first paid dividend 39 years ago but dividends are growing only for 0 years. Dividend Growth Rate for last 0 years is 0.00%
CUZ,Cousins Properties Incorporated,0.32,0.32,30.13,30.03,426.0,426.67003,EQUITY,1.28,0.042482577,1.28,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-01-13,2025-01-03,2025-04-23,2025-01-14,2025-01-02,This is line with previous dividend., CUZ first paid dividend 39 years ago but dividends are growing only for 0 years. Dividend Growth Rate for last 0 years is 0.00%
THO,"Thor Industries, Inc.",0.5,0.5,100.75,102.13,196.0,49.490002,EQUITY,1.94,0.019255584,2.0,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-01-16,2025-01-06,2025-03-05,2025-01-17,2025-01-05,This is line with previous dividend., THO first paid dividend 39 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 4.56%
IDCC,"InterDigital, Inc.",0.6,0.45,209.69,209.34,113.99999999999999,13.669999999999998,EQUITY,1.7,0.008107206,2.4,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-04-22,2025-04-09,2025-04-30,2025-04-23,2025-04-08,Reflecting a 33.33333333333333% increase., IDCC first paid dividend 15 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 5.15%
MYTHY,METLEN ENERGY & METALS S A,0.415,1.662234,36.4,38.315,434.0,33.650002,EQUITY,1.5,0.04120879,1.66,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-07-16,2024-06-27,2025-02-20,2024-07-17,2024-06-26,Reflecting a 0.24966400639139855% cut., MYTHY first paid dividend 8 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 32.61%
PFSI,"PennyMac Financial Services, In",0.3,0.3,99.35,102.78,117.0,17.119999999999997,EQUITY,1.1,0.011071968,1.2,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-02-22,2025-02-13,2025-04-22,2025-02-23,2025-02-12,This is line with previous dividend., PFSI first paid dividend 8 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 50.00%
BCPC,Balchem Corporation,0.2175,0.87,165.57,173.59,50.0,22.14,EQUITY,0.87,0.005254575,0.87,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-01-16,2024-12-26,2025-05-01,2025-01-17,2024-12-25,Reflecting a 0.25% cut., BCPC first paid dividend 37 years ago but dividends are growing only for 27 years. Dividend Growth Rate for last 5 years is 8.45%
CHX,ChampionX Corporation,0.095,0.095,29.54,29.12,129.0,23.030001,EQUITY,0.38,0.012863913,0.38,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-04-24,2025-04-04,2025-04-22,2025-04-25,2025-04-03,This is line with previous dividend., CHX first paid dividend 4 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 5.72%
BIPC,Brookfield Infrastructure Corpo,0.43,0.405,42.12,41.02,419.00000000000006,15.8,EQUITY,1.62,0.03846154,1.72,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-30,2025-02-28,2025-01-30,2025-03-31,2025-02-27,Reflecting a 6.1728395061728225% increase., BIPC first paid dividend 5 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 4.61%
HMY,Harmony Gold Mining Company Lim,0.0425,0.052,11.13,10.88,153.0,16.16,EQUITY,2.41,0.2165319,0.17,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-10-20,2024-10-11,2025-03-04,2024-10-21,2024-10-10,Reflecting a 0.8173076923076924% cut., HMY first paid dividend 18 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -33.33%
CWEN,"Clearway Energy, Inc.",0.43,0.424,26.7,27.36,646.0,157.96000999999998,EQUITY,3.3,0.1235955,1.72,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-16,2025-03-03,2025-05-07,2025-03-17,2025-03-02,Reflecting a 1.4150943396226356% increase., CWEN first paid dividend 10 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 15.09%
FNB,F.N.B. Corporation,0.12,0.12,14.63,14.53,330.0,37.8,EQUITY,0.48,0.032809295,0.48,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-14,2025-03-03,2025-04-15,2025-03-15,2025-03-02,This is line with previous dividend., FNB first paid dividend 38 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
SNDR,"Schneider National, Inc.",0.095,0.095,26.58,26.66,143.0,57.58,EQUITY,0.38,0.014296464,0.38,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-04-08,2025-03-14,2025-04-30,2025-04-09,2025-03-13,This is line with previous dividend., SNDR first paid dividend 8 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 7.89%
CALM,"Cal-Maine Foods, Inc.",1.07,1.489,89.34,88.07,487.0,22.600001,EQUITY,4.276,0.0478621,4.28,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-02-12,2025-01-29,2025-03-31,2025-02-13,2025-01-28,Reflecting a 0.7186030893216924% cut., CALM first paid dividend 26 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 49.35%
LB,LandBridge Company LLC,0.1,0.1,65.37,61.37,65.0,0.0,EQUITY,0.0,0.0,0.4,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-19,2025-03-06,2025-03-05,2025-03-20,2025-03-05,This is line with previous dividend., LB first paid dividend 1 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
MC,Moelis & Company,0.65,0.65,70.41,69.04,369.0,134.83,EQUITY,2.45,0.034796193,2.6,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-26,2025-02-18,2025-04-22,2025-03-27,2025-02-17,This is line with previous dividend., MC first paid dividend 12 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 8.33%
NE,Noble Corporation plc A,0.5,0.5,27.19,26.84,745.0,60.809999999999995,EQUITY,1.8,0.06620081,2.0,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-19,2025-03-05,2025-05-05,2025-03-20,2025-03-04,This is line with previous dividend., NE first paid dividend 2 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 29.10%
MAIN,Main Street Capital Corporation,1.035,0.25,60.58,60.06,689.0,73.510003,EQUITY,2.88,0.04754044,4.14,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-13,2025-03-07,2025-02-27,2025-03-14,2025-03-06,Reflecting a 313.99999999999994% increase., MAIN first paid dividend 19 years ago but dividends are growing only for 0 years. Dividend Growth Rate for last 0 years is 0.00%
MAC,Macerich Company (The),0.17,0.17,19.81,19.74,344.0,188.89000000000001,EQUITY,0.68,0.0343261,0.68,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-17,2025-03-04,2025-02-27,2025-03-18,2025-03-03,This is line with previous dividend., MAC first paid dividend 31 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
WFRD,Weatherford International plc,0.25,0.25,64.84,63.96,154.0,7.4099995000000005,EQUITY,0.5,0.00771129,1.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-18,2025-02-21,2025-04-21,2025-03-19,2025-02-20,This is line with previous dividend., WFRD first paid dividend 2 years ago but dividends are growing only for 0 years. Dividend Growth Rate for last 0 years is 0.00%
AL,Air Lease Corporation,0.22,0.22,47.47,47.55,185.0,25.530002000000003,EQUITY,0.85,0.017906046,0.88,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-04-06,2025-03-18,2025-05-05,2025-04-07,2025-03-17,This is line with previous dividend., AL first paid dividend 12 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 7.96%
HRI,Herc Holdings Inc.,0.7,0.7,152.91,147.8,189.0,35.950002,EQUITY,2.66,0.017395854,2.8,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-03,2025-02-18,2025-04-21,2025-03-04,2025-02-17,This is line with previous dividend., HRI first paid dividend 5 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 8.78%
FG,"F&G Annuities & Life, Inc.",0.22,0.22,40.88,41.21,214.0,17.419999999999998,EQUITY,0.0,0.0,0.88,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-30,2025-03-17,2025-05-06,2025-03-31,2025-03-16,This is line with previous dividend., FG first paid dividend 2 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 4.88%
ERELY,Eregli Demir Ve Celik Fabrikal,0.02,0.076804,6.86,7.7,100.0,9.07,EQUITY,0.0,0.0,0.08,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-05-01,2024-04-15,2025-05-07,2024-05-02,2024-04-14,Reflecting a 0.2604031040049998% cut., ERELY first paid dividend 13 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
DNB,"Dun & Bradstreet Holdings, Inc.",0.05,0.05,9.23,9.11,217.0,0.0,EQUITY,0.2,0.021668473,0.2,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-19,2025-03-06,2025-04-28,2025-03-20,2025-03-05,This is line with previous dividend., DNB first paid dividend 3 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
SLGN,Silgan Holdings Inc.,0.19,0.19,54.52,55.12,138.0,29.459998,EQUITY,0.76,0.013939838,0.76,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-12-15,2024-12-02,2025-04-29,2024-12-16,2024-12-01,This is line with previous dividend., SLGN first paid dividend 21 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 9.63%
CIG,Comp En De Mn Cemig,0.03,0.03,1.91,1.96,617.0,45.810002,EQUITY,1.092,0.57172775,0.12,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2024-09-08,2024-12-30,2025-03-19,2024-09-09,2024-12-29,This is line with previous dividend., CIG first paid dividend 23 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 11.43%
GATX,GATX Corporation,0.61,0.58,161.87,162.9,150.0,29.82,EQUITY,2.32,0.014332489,2.44,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-30,2025-02-28,2025-04-21,2025-03-31,2025-02-27,Reflecting a 5.1724137931034475% increase., GATX first paid dividend 44 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 3.86%
MTH,Meritage Homes Corporation,0.43,0.75,72.27,75.94,225.99999999999997,13.99,EQUITY,1.5,0.020755501,1.72,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-30,2025-03-17,2025-04-22,2025-03-31,2025-03-16,Reflecting a 14.666666666666671% increase., MTH first paid dividend 12 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
LNC,Lincoln National Corporation,0.45,0.45,37.39,37.33,482.0,9.7799994,EQUITY,1.8,0.048141215,1.8,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-04-30,2025-04-10,2025-05-08,2025-05-01,2025-04-09,This is line with previous dividend., LNC first paid dividend 41 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 2.38%
UMBF,UMB Financial Corporation,0.4,0.4,106.68,106.99,150.0,17.459999,EQUITY,1.57,0.014716911,1.6,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-31,2025-03-10,2025-04-28,2025-04-01,2025-03-09,This is line with previous dividend., UMBF first paid dividend 39 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 2.63%
VIRT,"Virtu Financial, Inc.",0.24,0.24,35.74,35.1,274.0,32.32,EQUITY,0.96,0.026860658,0.96,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-16,2025-02-28,2025-04-22,2025-03-17,2025-02-27,This is line with previous dividend., VIRT first paid dividend 10 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
VNT,Vontier Corporation,0.025,0.025,37.9,37.99,26.0,3.64,EQUITY,0.1,0.0026385223,0.1,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-26,2025-03-06,2025-04-30,2025-03-27,2025-03-05,This is line with previous dividend., VNT first paid dividend 4 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
EPRT,Essential Properties Realty Tru,0.295,0.295,32.06,32.5,368.0,100.86999999999999,EQUITY,1.16,0.036182158,1.18,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-01-13,2024-12-31,2025-04-22,2025-01-14,2024-12-30,This is line with previous dividend., EPRT first paid dividend 7 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 5.10%
THG,Hanover Insurance Group Inc,0.9,0.9,159.05,161.82,225.99999999999997,29.53,EQUITY,3.45,0.021691293,3.6,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-12-26,2024-12-13,2025-04-29,2024-12-27,2024-12-12,This is line with previous dividend., THG first paid dividend 26 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 6.72%
SAIC,Science Applications Internatio,0.37,0.37,98.88,100.64,147.0,24.92,EQUITY,1.48,0.014967638,1.48,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-01-23,2025-01-10,2025-03-17,2025-01-24,2025-01-09,This is line with previous dividend., SAIC first paid dividend 13 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 0.00%
NFG,National Fuel Gas Company,0.515,0.515,73.32,74.08,278.0,240.48,EQUITY,2.04,0.02782324,2.06,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-01-14,2024-12-31,2025-04-29,2025-01-15,2024-12-30,This is line with previous dividend., NFG first paid dividend 38 years ago but dividends are growing only for 25 years. Dividend Growth Rate for last 5 years is 3.43%
HOMB,"Home BancShares, Inc.",0.195,0.195,29.18,29.25,267.0,37.31,EQUITY,0.75,0.025702536,0.78,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-04,2025-02-12,2025-04-16,2025-03-05,2025-02-11,This is line with previous dividend., HOMB first paid dividend 20 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 8.64%
GPI,"Group 1 Automotive, Inc.",0.5,0.47,451.99,459.66,44.0,5.12,EQUITY,0.0,0.0,2.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-16,2025-03-03,2025-04-22,2025-03-17,2025-03-02,Reflecting a 6.382978723404253% increase., GPI first paid dividend 18 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 9.39%
CMC,Commercial Metals Company,0.18,0.18,50.07,50.0,144.0,63.060004000000006,EQUITY,0.7,0.013980427,0.72,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-01-29,2025-01-16,2025-03-19,2025-01-30,2025-01-15,This is line with previous dividend., CMC first paid dividend 40 years ago but dividends are growing only for 19 years. Dividend Growth Rate for last 5 years is 8.45%
KRG,Kite Realty Group Trust,0.27,0.27,22.02,22.34,483.0,3800.0,EQUITY,1.03,0.046775658,1.08,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-04-15,2025-04-09,2025-04-28,2025-04-16,2025-04-08,This is line with previous dividend., KRG first paid dividend 22 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is -3.22%
REYN,Reynolds Consumer Products Inc.,0.23,0.23,24.75,25.34,372.0,55.089999999999996,EQUITY,0.92,0.037171718,0.92,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-02-27,2025-02-14,2025-05-06,2025-02-28,2025-02-13,This is line with previous dividend., REYN first paid dividend 6 years ago but dividends are growing only for 0 years. Dividend Growth Rate for last 0 years is 0.00%
SIGI,"Selective Insurance Group, Inc.",0.38,0.38,80.55,83.02,183.0,44.269999999999996,EQUITY,1.43,0.017752947,1.52,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-02,2025-02-14,2025-04-29,2025-03-03,2025-02-13,This is line with previous dividend., SIGI first paid dividend 39 years ago but dividends are growing only for 19 years. Dividend Growth Rate for last 5 years is 10.56%
COLB,"Columbia Banking System, Inc.",0.36,0.36,26.33,26.6,547.0,56.47,EQUITY,0.0,0.0,1.44,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-16,2025-02-28,2025-04-23,2025-03-17,2025-02-27,This is line with previous dividend., COLB first paid dividend 22 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 0.00%
NSA,National Storage Affiliates Tru,0.57,0.57,38.13,38.86,598.0,128.74,EQUITY,2.24,0.058746394,2.28,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-30,2025-03-14,2025-02-26,2025-03-31,2025-03-13,This is line with previous dividend., NSA first paid dividend 10 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 1.79%
GBCI,"Glacier Bancorp, Inc.",0.33,0.33,47.34,47.86,276.0,78.57,EQUITY,1.32,0.027883397,1.32,"Payout Ratio falls within the ""high risk"" range (>75%).",2024-12-18,2024-12-10,2025-04-16,2024-12-19,2024-12-09,This is line with previous dividend., GBCI first paid dividend 33 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
TIMB,TIM S.A.,0.13,0.22,14.76,14.89,350.0,82.73,EQUITY,0.599,0.040582653,0.52,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-04-28,2025-02-21,2025-05-05,2025-04-29,2025-02-20,Reflecting a 0.5909090909090909% cut., TIMB first paid dividend 26 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 168.29%
AMG,"Affiliated Managers Group, Inc.",0.01,0.01,165.88,165.72,2.0,0.26,EQUITY,0.04,0.00024113816,0.04,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-03,2025-02-18,2025-05-05,2025-03-04,2025-02-17,This is line with previous dividend., AMG first paid dividend 9 years ago but dividends are growing only for 0 years. Dividend Growth Rate for last 0 years is 0.00%
GGB,Gerdau S.A.,0.035,0.021,2.82,2.85,505.0,35.13,EQUITY,0.8,0.28368795,0.14,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-20,2025-03-07,2025-04-28,2025-03-21,2025-03-06,Reflecting a 66.66666666666667% increase., GGB first paid dividend 26 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 26.00%
NOV,NOV Inc.,0.075,0.075,14.99,14.97,200.0,17.19,EQUITY,0.275,0.018345565,0.3,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-27,2025-03-14,2025-04-23,2025-03-28,2025-03-13,This is line with previous dividend., NOV first paid dividend 16 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 50.00%
TX,Ternium S.A. Ternium S.A.,0.675,0.9,29.71,29.26,923.0,825.0,EQUITY,2.7,0.090878494,2.7,"Payout Ratio falls within the ""high risk"" range (>75%).",2024-11-25,2025-05-09,2025-04-22,2024-11-26,2025-05-08,Reflecting a 0.75% cut., TX first paid dividend 16 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -59.09%
