symbol|shortName|dividendRate|previousClose|currentPrice|dividendYield|payoutRatio|quoteType|dividend|date|message|Ex-Dividend Date|Dividend Date|Earnings Date|payoutdate|buy_date|hist|insight
FR| First Industrial Realty Trust   |1.78|54.25|53.65|3.32|68.2|EQUITY|0.37|2024-12-31| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-31|2025-04-20|2025-04-16|2025-04-21|2025-03-30| This is line with previous dividend. | FR dividend growth is zero. 
WTS| Watts Water Technologies  Inc. |1.72|209.34|203.98|0.84|18.99|EQUITY|0.43|2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |2025-02-28|2025-03-13|2025-05-06|2025-03-14|2025-02-27| This is line with previous dividend. |  WTS first paid dividend 36 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 13.33% 
MOG-A| Moog Inc. |1.16|175.0|171.75|0.68|17.07|EQUITY|0.29|2025-02-07| Payout Ratio falls within the  low risk  range (<35%). |2025-02-07|2025-02-24|2025-04-24|2025-02-25|2025-02-06| This is line with previous dividend. |  MOG-A first paid dividend 11 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 3.78% 
VIPS| Vipshop Holdings Limited |0.48|16.5|16.13|2.98|21.32|EQUITY|0.43|2024-03-14| Payout Ratio falls within the  low risk  range (<35%). |2025-04-11|2025-04-24|2025-05-20|2025-04-25|2025-04-10| This is line with previous dividend. | VIPS dividend growth is zero. 
R| Ryder System  Inc. |3.24|143.97|140.5|2.31|27.49|EQUITY|0.81|2025-02-18| Payout Ratio falls within the  low risk  range (<35%). |2025-02-18|2025-03-20|2025-04-23|2025-03-21|2025-02-17| This is line with previous dividend. |  R first paid dividend 46 years ago but dividends are growing only for 16 years. Dividend Growth Rate for last 5 years is 7.66% 
UFPI| UFP Industries  Inc. |1.4|110.09|106.31|1.32|19.5|EQUITY|0.35|2025-03-03| Payout Ratio falls within the  low risk  range (<35%). |2025-03-03|2025-03-16|2025-04-28|2025-03-17|2025-03-02| This is line with previous dividend. |  UFPI first paid dividend 32 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 18.32% 
CHH| Choice Hotels International  In |1.15|133.52|131.59|0.87|18.55|EQUITY|0.288|2025-01-02| Payout Ratio falls within the  low risk  range (<35%). |2025-04-01|2025-04-15|2025-05-06|2025-04-16|2025-03-31| This is line with previous dividend. |  CHH first paid dividend 23 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 6.56% 
STWD| STARWOOD PROPERTY TRUST  INC. S |1.92|20.01|19.85|9.67|174.55|EQUITY|0.48|2024-12-31| Payout Ratio falls within the  high risk  range (>75%). |2025-03-31|2025-04-14|2025-05-06|2025-04-15|2025-03-30| This is line with previous dividend. | STWD dividend growth is zero. 
MTN| Vail Resorts  Inc. |8.88|161.0|161.46|5.5|129.45|EQUITY|2.22|2025-03-27| Payout Ratio falls within the  high risk  range (>75%). |2025-03-27|2025-04-09|2025-06-04|2025-04-10|2025-03-26| This is line with previous dividend. | MTN dividend growth is zero. 
VOYA| Voya Financial  Inc. |1.8|69.4|67.27|2.68|27.55|EQUITY|0.45|2025-02-25| Payout Ratio falls within the  low risk  range (<35%). |2025-02-25|2025-03-26|2025-04-28|2025-03-27|2025-02-24| This is line with previous dividend. |  VOYA first paid dividend 13 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 24.57% 
DINO| HF Sinclair Corporation |2.0|33.27|33.06|6.05|219.78|EQUITY|0.5|2025-03-06| Payout Ratio falls within the  high risk  range (>75%). |2025-03-06|2025-03-19|2025-05-01|2025-03-20|2025-03-05| This is line with previous dividend. | DINO dividend growth is zero. 
AMKR| Amkor Technology  Inc. |0.33|18.32|18.3|1.81|22.3|EQUITY|0.083|2025-03-13| Payout Ratio falls within the  low risk  range (<35%). |2025-03-13|2025-04-01|2025-04-28|2025-04-02|2025-03-12| This is line with previous dividend. | AMKR dividend growth is zero. 
CMS-PB| CMS Energy Corporation Preferre |4.5|79.93|79.0|5.7||EQUITY|1.125|2025-03-03| Payout Ratio falls within the  high risk  range (>75%). |2025-03-03|2025-03-31|2025-04-23|2025-04-01|2025-03-02| This is line with previous dividend. | CMS-PB dividend growth is zero. 
ICL| ICL Group Ltd. |0.19|5.82|5.69|3.3|60.1|EQUITY|0.049|2024-09-04| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-12|2025-03-24|2025-05-07|2025-03-25|2025-03-11| This is line with previous dividend. | ICL dividend growth is zero. 
PDI| PIMCO Dynamic Income Fund |2.65|19.72|19.74|16.65|394.93|EQUITY|0.221|2025-03-13| Payout Ratio falls within the  high risk  range (>75%). |||||| This is line with previous dividend. | PDI dividend growth is zero. 
JXN| Jackson Financial Inc. |3.2|85.74|83.13|3.85|23.85|EQUITY|0.8|2025-03-11| Payout Ratio falls within the  low risk  range (<35%). |2025-03-11|2025-03-19|2025-05-08|2025-03-20|2025-03-10| This is line with previous dividend. |  JXN first paid dividend 5 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 12.47% 
QXO| QXO  Inc. ||14.01|13.76||0.0|EQUITY|26.184|2024-06-05| Payout Ratio falls within the  high risk  range (>75%). |2024-06-05|2024-06-11|2025-05-05|2024-06-12|2024-06-04| This is line with previous dividend. | QXO dividend growth is zero. 
STVN| Stevanato Group S.p.A. |0.06|20.32|20.29|0.28|12.33|EQUITY|0.058|2024-06-04| Payout Ratio falls within the  low risk  range (<35%). |2024-06-04|2024-07-14|2025-03-06|2024-07-15|2024-06-03| This is line with previous dividend. | STVN dividend growth is zero. 
BYD| Boyd Gaming Corporation |0.72|67.75|66.25|1.09|10.99|EQUITY|0.18|2025-03-17| Payout Ratio falls within the  low risk  range (<35%). |2025-03-17|2025-04-14|2025-04-23|2025-04-15|2025-03-16| This is line with previous dividend. |  BYD first paid dividend 13 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 6.27% 
GNTX| Gentex Corporation |0.48|23.88|23.4|2.05|20.45|EQUITY|0.12|2025-01-08| Payout Ratio falls within the  low risk  range (<35%). |2025-04-09|2025-04-22|2025-04-24|2025-04-23|2025-04-08| This is line with previous dividend. |  GNTX first paid dividend 23 years ago but dividends are growing only for 19 years. Dividend Growth Rate for last 5 years is 0.00% 
WHR| Whirlpool Corporation |7.0|93.0|89.51|7.82|68.9|EQUITY|1.75|2025-02-28| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-28|2025-03-14|2025-04-23|2025-03-15|2025-02-27| This is line with previous dividend. |  WHR first paid dividend 43 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 7.84% 
FAF| First American Corporation (New |2.16|66.47|65.7|3.29|169.84|EQUITY|0.54|2025-03-10| Payout Ratio falls within the  high risk  range (>75%). |2025-03-10|2025-03-16|2025-04-23|2025-03-17|2025-03-09| This is line with previous dividend. |  FAF first paid dividend 16 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 4.18% 
ZWS| Zurn Elkay Water Solutions Corp |0.36|33.76|32.96|1.09|36.26|EQUITY|0.09|2025-02-20| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-20|2025-03-06|2025-04-21|2025-03-07|2025-02-19| This is line with previous dividend. |  ZWS first paid dividend 6 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 13.39% 
ADT| ADT Inc. |0.22|8.23|8.1|2.72|33.33|EQUITY|0.055|2025-03-13| Payout Ratio falls within the  low risk  range (<35%). |2025-03-13|2025-04-02|2025-04-23|2025-04-03|2025-03-12| This is line with previous dividend. | ADT dividend growth is zero. 
RHP| Ryman Hospitality Properties  I |4.6|93.45|91.77|5.01|101.6|EQUITY|1.15|2024-12-31| Payout Ratio falls within the  high risk  range (>75%). |2025-03-31|2025-04-14|2025-04-29|2025-04-15|2025-03-30| This is line with previous dividend. | RHP dividend growth is zero. 
BMI| Badger Meter  Inc. |1.36|193.2|190.21|0.71|28.84|EQUITY|0.34|2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |2025-02-28|2025-03-13|2025-04-16|2025-03-14|2025-02-27| This is line with previous dividend. |  BMI first paid dividend 36 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 14.87% 
OMF| OneMain Holdings  Inc. |4.16|50.49|48.4|8.6|97.17|EQUITY|1.04|2025-02-12| Payout Ratio falls within the  high risk  range (>75%). |2025-02-12|2025-02-19|2025-04-28|2025-02-20|2025-02-11| This is line with previous dividend. |  OMF first paid dividend 7 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00% 
SPXSY| SPIRAX GROUP PLC |1.06|42.65|41.66|2.55|62.44|EQUITY|0.318|2024-10-18| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-04-25|2024-12-01|2025-03-11|2024-12-02|2025-04-24| This is line with previous dividend. | SPXSY dividend growth is zero. 
STAG| Stag Industrial  Inc. |1.49|35.44|35.59|4.19|142.31|EQUITY|0.124|2025-02-28| Payout Ratio falls within the  high risk  range (>75%). |2025-03-31|2025-04-14|2025-04-28|2025-04-15|2025-03-30| This is line with previous dividend. |  STAG first paid dividend 15 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 0.66% 
CGNX| Cognex Corporation |0.32|30.74|30.01|1.07|49.19|EQUITY|0.08|2025-02-27| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-27|2025-03-12|2025-04-30|2025-03-13|2025-02-26| This is line with previous dividend. |  CGNX first paid dividend 21 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 7.46% 
CADE| Cadence Bank |1.1|30.77|30.12|3.65|156.35|EQUITY|0.275|2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |2025-03-14|2025-03-31|2025-04-21|2025-04-01|2025-03-13| This is line with previous dividend. |  CADE first paid dividend 36 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 9.68% 
AWI| Armstrong World Industries Inc |1.23|144.27|139.55|0.88|19.07|EQUITY|0.308|2025-03-06| Payout Ratio falls within the  low risk  range (<35%). |2025-03-06|2025-03-19|2025-04-28|2025-03-20|2025-03-05| This is line with previous dividend. |  AWI first paid dividend 11 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 9.02% 
VMI| Valmont Industries  Inc. |2.72|298.52|289.56|0.94|13.96|EQUITY|0.68|2025-03-28| Payout Ratio falls within the  low risk  range (<35%). |2025-03-28|2025-04-14|2025-04-29|2025-04-15|2025-03-27| This is line with previous dividend. |  VMI first paid dividend 40 years ago but dividends are growing only for 20 years. Dividend Growth Rate for last 5 years is 8.61% 
FSK| FS KKR Capital Corp. |2.8|21.09|20.99|13.34|133.97|EQUITY|0.7|2025-03-19| Payout Ratio falls within the  high risk  range (>75%). |2025-03-19|2025-04-01|2025-05-06|2025-04-02|2025-03-18| This is line with previous dividend. |  FSK first paid dividend 12 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 1300.00% 
COLD| Americold Realty Trust  Inc. |0.92|21.64|21.88|4.2|763.64|EQUITY|0.23|2025-03-28| Payout Ratio falls within the  high risk  range (>75%). |2025-03-28|2025-04-14|2025-05-07|2025-04-15|2025-03-27| This is line with previous dividend. |  COLD first paid dividend 8 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 4.55% 
LSTR| Landstar System  Inc. |1.44|148.73|147.37|0.98|25.05|EQUITY|0.36|2025-02-18| Payout Ratio falls within the  low risk  range (<35%). |2025-02-18|2025-03-10|2025-04-29|2025-03-11|2025-02-17| This is line with previous dividend. | LSTR dividend growth is zero. 
PJT| PJT Partners Inc. |1.0|139.92|135.97|0.74|20.33|EQUITY|0.25|2025-03-05| Payout Ratio falls within the  low risk  range (<35%). |2025-03-05|2025-03-18|2025-04-30|2025-03-19|2025-03-04| This is line with previous dividend. | PJT dividend growth is zero. 
UGI| UGI Corporation |1.5|32.94|32.86|4.56|58.82|EQUITY|0.375|2025-03-17| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-17|2025-03-31|2025-04-29|2025-04-01|2025-03-16| This is line with previous dividend. | UGI dividend growth is zero. 
OSK| Oshkosh Corporation (Holding Co |2.04|97.06|94.31|2.16|17.78|EQUITY|0.51|2025-02-14| Payout Ratio falls within the  low risk  range (<35%). |2025-02-14|2025-03-02|2025-04-23|2025-03-03|2025-02-13| This is line with previous dividend. |  OSK first paid dividend 36 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 11.29% 
ESI| Element Solutions Inc. |0.32|23.6|22.92|1.4|32.0|EQUITY|0.08|2025-03-03| Payout Ratio falls within the  low risk  range (<35%). |2025-03-03|2025-03-16|2025-04-28|2025-03-17|2025-03-02| This is line with previous dividend. | ESI dividend growth is zero. 
FMC| FMC Corporation |2.32|42.63|42.21|5.5|72.27|EQUITY|0.58|2024-12-31| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-31|2025-04-16|2025-04-30|2025-04-17|2025-03-30| This is line with previous dividend. | FMC dividend growth is zero. 
MTG| MGIC Investment Corporation |0.52|24.83|24.4|2.13|16.96|EQUITY|0.13|2025-02-18| Payout Ratio falls within the  low risk  range (<35%). |2025-02-18|2025-03-04|2025-04-29|2025-03-05|2025-02-17| This is line with previous dividend. |  MTG first paid dividend 25 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 21.32% 
CSWI| CSW Industrials  Inc. |0.96|296.08|290.19|0.33|10.2|EQUITY|0.24|2025-01-31| Payout Ratio falls within the  low risk  range (<35%). |2025-01-31|2025-02-13|2025-05-21|2025-02-14|2025-01-30| This is line with previous dividend. |  CSWI first paid dividend 7 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 12.47% 
QFIN| Qifu Technology  Inc |1.3|48.12|45.43|2.86|20.36|EQUITY|0.6|2024-09-27| Payout Ratio falls within the  low risk  range (<35%). |2025-04-23|2025-06-01|2025-05-19|2025-06-02|2025-04-22| This is line with previous dividend. | QFIN dividend growth is zero. 
OBDC| Blue Owl Capital Corporation |1.69|15.31|15.04|11.24|112.42|EQUITY|0.05|2025-02-28| Payout Ratio falls within the  high risk  range (>75%). |2025-03-31|2025-04-14|2025-05-06|2025-04-15|2025-03-30| This is line with previous dividend. | OBDC dividend growth is zero. 
SLM| SLM Corporation |0.52|29.73|28.9|1.8|16.85|EQUITY|0.13|2025-03-05| Payout Ratio falls within the  low risk  range (<35%). |2025-03-05|2025-03-16|2025-04-22|2025-03-17|2025-03-04| This is line with previous dividend. |  SLM first paid dividend 32 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 44.28% 
LFUS| Littelfuse  Inc. |2.8|210.03|200.97|1.39|67.5|EQUITY|0.7|2025-02-20| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-20|2025-03-05|2025-04-28|2025-03-06|2025-02-19| This is line with previous dividend. |  LFUS first paid dividend 16 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 9.89% 
HR| Healthcare Realty Trust Incorpo |1.24|16.76|16.76|7.4|251.53|EQUITY|0.31|2025-03-03| Payout Ratio falls within the  high risk  range (>75%). |2025-03-03|2025-03-18|2025-05-05|2025-03-19|2025-03-02| This is line with previous dividend. | HR dividend growth is zero. 
PVH| PVH Corp. |0.15|66.59|64.69|0.23|1.23|EQUITY|0.038|2025-03-05| Payout Ratio falls within the  low risk  range (<35%). |2025-03-05|2025-03-25|2025-03-31|2025-03-26|2025-03-04| This is line with previous dividend. |  PVH first paid dividend 40 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 0.00% 
FSS| Federal Signal Corporation |0.56|78.88|75.18|0.74|13.71|EQUITY|0.14|2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |2025-03-14|2025-03-26|2025-04-28|2025-03-27|2025-03-13| This is line with previous dividend. |  FSS first paid dividend 36 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 18.32% 
ESNT| Essent Group Ltd. |1.24|58.51|57.35|2.16|16.35|EQUITY|0.28|2024-08-30| Payout Ratio falls within the  low risk  range (<35%). |2025-03-14|2025-03-23|2025-05-03|2025-03-24|2025-03-13| This is line with previous dividend. | ESNT dividend growth is zero. 
TRNO| Terreno Realty Corporation |1.96|63.09|62.73|3.12|97.92|EQUITY|0.49|2025-03-27| Payout Ratio falls within the  high risk  range (>75%). |2025-03-27|2025-04-03|2025-05-06|2025-04-04|2025-03-26| This is line with previous dividend. |  TRNO first paid dividend 15 years ago but dividends are growing only for 13 years. Dividend Growth Rate for last 5 years is 12.66% 
IDA| IDACORP  Inc. |3.44|114.5|114.94|2.99|60.91|EQUITY|0.86|2025-02-05| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-05|2025-02-27|2025-04-30|2025-02-28|2025-02-04| This is line with previous dividend. |  IDA first paid dividend 41 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 5.12% 
ADOOY| ADARO ENERGY INDONESIA TBK |0.97|5.45|5.55|17.4|138.18|EQUITY|0.645|2024-06-10| Payout Ratio falls within the  high risk  range (>75%). |2025-01-13|2025-01-29|2025-04-28|2025-01-30|2025-01-12| This is line with previous dividend. | ADOOY dividend growth is zero. 
RITM| Rithm Capital Corp. |1.0|11.63|11.39|8.78|59.88|EQUITY|0.25|2024-12-31| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-31|2025-04-29|2025-04-28|2025-04-30|2025-03-30| This is line with previous dividend. | RITM dividend growth is zero. 
DUFRY| AVOLTA AG |0.08|4.42|4.39|1.74|101.54|EQUITY|0.077|2024-05-20| Payout Ratio falls within the  high risk  range (>75%). |2024-05-20|2024-06-05|2025-03-12|2024-06-06|2024-05-19| This is line with previous dividend. | DUFRY dividend growth is zero. 
TX| Ternium S.A. Ternium S.A. |2.7|31.76|31.1|8.68|825.0|EQUITY|0.9|2024-11-18| Payout Ratio falls within the  high risk  range (>75%). |2025-05-09|2024-11-25|2025-04-22|2024-11-26|2025-05-08| This is line with previous dividend. | TX dividend growth is zero. 
NOV| NOV Inc. |0.3|15.28|14.99|2.0|17.19|EQUITY|0.075|2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |2025-03-14|2025-03-27|2025-04-28|2025-03-28|2025-03-13| This is line with previous dividend. |  NOV first paid dividend 17 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00% 
GGB| Gerdau S.A. |0.14|2.99|2.92|4.93|36.3|EQUITY|0.021|2024-08-13| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-07|2025-03-20|2025-04-28|2025-03-21|2025-03-06| This is line with previous dividend. | GGB dividend growth is zero. 
AMG| Affiliated Managers Group  Inc. |0.04|170.73|167.21|0.02|0.26|EQUITY|0.01|2025-02-18| Payout Ratio falls within the  high risk  range (>75%). |2025-02-18|2025-03-03|2025-05-05|2025-03-04|2025-02-17| This is line with previous dividend. | AMG dividend growth is zero. 
TIMB| TIM S.A. |0.58|15.59|15.43|3.78|82.73|EQUITY|0.22|2024-12-30| Payout Ratio falls within the  high risk  range (>75%). |2025-04-04|2025-05-06|2025-05-05|2025-05-07|2025-04-03| This is line with previous dividend. | TIMB dividend growth is zero. 
GBCI| Glacier Bancorp  Inc. |1.32|44.78|43.81|3.01|78.57|EQUITY|0.33|2024-12-10| Payout Ratio falls within the  high risk  range (>75%). |2025-04-08|2025-04-16|2025-04-16|2025-04-17|2025-04-07| This is line with previous dividend. | GBCI dividend growth is zero. 
NSA| National Storage Affiliates Tru |2.28|38.29|38.71|5.89|190.68|EQUITY|0.57|2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |2025-03-14|2025-03-30|2025-04-29|2025-03-31|2025-03-13| This is line with previous dividend. |  NSA first paid dividend 11 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 1.79% 
COLB| Columbia Banking System  Inc. |1.44|25.32|24.73|5.82|56.47|EQUITY|0.36|2025-02-28| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-28|2025-03-16|2025-04-23|2025-03-17|2025-02-27| This is line with previous dividend. |  COLB first paid dividend 23 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 0.00% 
SIGI| Selective Insurance Group  Inc. |1.52|92.22|91.79|1.66|44.27|EQUITY|0.38|2025-02-14| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-14|2025-03-02|2025-04-29|2025-03-03|2025-02-13| This is line with previous dividend. |  SIGI first paid dividend 39 years ago but dividends are growing only for 19 years. Dividend Growth Rate for last 5 years is 10.56% 
REYN| Reynolds Consumer Products Inc. |0.92|23.82|23.8|3.87|55.09|EQUITY|0.23|2025-02-14| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-14|2025-02-27|2025-05-06|2025-02-28|2025-02-13| This is line with previous dividend. | REYN dividend growth is zero. 
KRG| Kite Realty Group Trust |1.08|22.59|22.27|4.85|3800.0|EQUITY|0.27|2025-01-10| Payout Ratio falls within the  high risk  range (>75%). |2025-04-09|2025-04-15|2025-04-29|2025-04-16|2025-04-08| This is line with previous dividend. |  KRG first paid dividend 22 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 39.02% 
CMC| Commercial Metals Company |0.72|48.38|46.18|1.56|120.0|EQUITY|0.18|2025-01-16| Payout Ratio falls within the  high risk  range (>75%). |2025-03-31|2025-04-08|2025-06-18|2025-04-09|2025-03-30| This is line with previous dividend. |  CMC first paid dividend 40 years ago but dividends are growing only for 19 years. Dividend Growth Rate for last 5 years is 8.45% 
GPI| Group 1 Automotive  Inc. |2.0|393.18|375.96|0.53|5.12|EQUITY|0.5|2025-03-03| Payout Ratio falls within the  low risk  range (<35%). |2025-03-03|2025-03-16|2025-04-22|2025-03-17|2025-03-02| This is line with previous dividend. |  GPI first paid dividend 19 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 10.76% 
HOMB| Home BancShares  Inc. |0.78|28.57|28.14|2.77|37.31|EQUITY|0.195|2025-02-12| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-12|2025-03-04|2025-04-16|2025-03-05|2025-02-11| This is line with previous dividend. |  HOMB first paid dividend 20 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 8.64% 
NFG| National Fuel Gas Company |2.06|78.68|78.8|2.61|240.48|EQUITY|0.515|2024-12-31| Payout Ratio falls within the  high risk  range (>75%). |2025-03-31|2025-04-14|2025-04-29|2025-04-15|2025-03-30| This is line with previous dividend. | NFG dividend growth is zero. 
SAIC| Science Applications Internatio |1.48|111.36|112.53|1.32|20.64|EQUITY|0.37|2025-01-10| Payout Ratio falls within the  low risk  range (<35%). |2025-04-11|2025-04-24|2025-06-02|2025-04-25|2025-04-10| This is line with previous dividend. |  SAIC first paid dividend 13 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 0.00% 
THG| Hanover Insurance Group Inc |3.6|174.61|172.63|2.09|29.54|EQUITY|0.9|2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |2025-03-14|2025-03-27|2025-04-30|2025-03-28|2025-03-13| This is line with previous dividend. |  THG first paid dividend 27 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 6.72% 
EPRT| Essential Properties Realty Tru |1.18|32.65|32.6|3.62|100.87|EQUITY|0.295|2024-12-31| Payout Ratio falls within the  high risk  range (>75%). |2025-03-31|2025-04-10|2025-04-22|2025-04-11|2025-03-30| This is line with previous dividend. | EPRT dividend growth is zero. 
VNT| Vontier Corporation |0.1|33.54|32.8|0.3|3.64|EQUITY|0.025|2025-03-06| Payout Ratio falls within the  low risk  range (<35%). |2025-03-06|2025-03-26|2025-04-30|2025-03-27|2025-03-05| This is line with previous dividend. | VNT dividend growth is zero. 
VIRT| Virtu Financial  Inc. |0.96|37.71|37.76|2.54|32.32|EQUITY|0.24|2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |2025-02-28|2025-03-16|2025-04-22|2025-03-17|2025-02-27| This is line with previous dividend. | VIRT dividend growth is zero. 
UMBF| UMB Financial Corporation |1.6|101.85|100.19|1.6|17.46|EQUITY|0.4|2025-03-10| Payout Ratio falls within the  low risk  range (<35%). |2025-03-10|2025-03-31|2025-04-28|2025-04-01|2025-03-09| This is line with previous dividend. |  UMBF first paid dividend 40 years ago but dividends are growing only for 3 years. Dividend Growth Rate for last 3 years is 2.63% 
LNC| Lincoln National Corporation |1.8|36.78|35.68|5.04|9.78|EQUITY|0.45|2025-01-10| Payout Ratio falls within the  low risk  range (<35%). |2025-04-10|2025-04-30|2025-05-08|2025-05-01|2025-04-09| This is line with previous dividend. |  LNC first paid dividend 41 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 2.38% 
MTH| Meritage Homes Corporation |1.72|72.65|70.33|2.45|13.99|EQUITY|0.43|2025-03-17| Payout Ratio falls within the  low risk  range (<35%). |2025-03-17|2025-03-30|2025-04-23|2025-03-31|2025-03-16| This is line with previous dividend. | MTH dividend growth is zero. 
GATX| GATX Corporation |2.44|159.21|156.09|1.56|29.82|EQUITY|0.61|2025-02-28| Payout Ratio falls within the  low risk  range (<35%). |2025-02-28|2025-03-30|2025-04-21|2025-03-31|2025-02-27| This is line with previous dividend. |  GATX first paid dividend 45 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 4.91% 
CIG| Comp En De Mn Cemig |0.12|1.79|1.81|6.76|45.81|EQUITY|0.03|2024-09-30| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-03-31|2024-09-08|2025-05-08|2024-09-09|2025-03-30| This is line with previous dividend. | CIG dividend growth is zero. 
SLGN| Silgan Holdings Inc. |0.8|51.49|50.71|1.58|29.46|EQUITY|0.2|2025-03-17| Payout Ratio falls within the  low risk  range (<35%). |2025-03-17|2025-03-30|2025-04-29|2025-03-31|2025-03-16| This is line with previous dividend. |  SLGN first paid dividend 22 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 10.76% 
DNB| Dun & Bradstreet Holdings  Inc. |0.2|8.94|8.92|2.24|0.0|EQUITY|0.05|2025-03-06| Payout Ratio falls within the  high risk  range (>75%). |2025-03-06|2025-03-19|2025-04-28|2025-03-20|2025-03-05| This is line with previous dividend. | DNB dividend growth is zero. 
ERELY| Eregli Demir Ve Celik Fabrikal |0.08|0.0|6.43|1.19|12.46|EQUITY|0.076804|2024-04-15| Payout Ratio falls within the  low risk  range (<35%). |2024-04-15|2024-05-01|2025-05-07|2024-05-02|2024-04-14| This is line with previous dividend. | ERELY dividend growth is zero. 
FG| F&G Annuities & Life  Inc. |0.88|35.99|35.21|2.5|17.42|EQUITY|0.22|2025-03-17| Payout Ratio falls within the  low risk  range (<35%). |2025-03-17|2025-03-30|2025-05-06|2025-03-31|2025-03-16| This is line with previous dividend. |  FG first paid dividend 3 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 4.88% 
HRI| Herc Holdings Inc. |2.8|139.55|138.93|2.02|35.95|EQUITY|0.7|2025-02-18| Payout Ratio falls within the  high risk  range (>75%). |2025-02-18|2025-03-03|2025-04-21|2025-03-04|2025-02-17| This is line with previous dividend. |  HRI first paid dividend 5 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 8.78% 
AL| Air Lease Corporation |0.88|49.08|48.22|1.82|25.53|EQUITY|0.22|2025-03-18| Payout Ratio falls within the  low risk  range (<35%). |2025-03-18|2025-04-06|2025-05-05|2025-04-07|2025-03-17| This is line with previous dividend. |  AL first paid dividend 13 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 7.96% 
