symbol,shortName,dividendRate,lastDividendValue,previousClose,currentPrice,dividendYield,payoutRatio,quoteType,message,DividendDate,DividendDate.1,ExDividendDate,ExDividendDate.1,EarningsDate,payoutdate,buy_date,hist,insight
NEE-PR,"NextEra Energy, Inc. 6.926% Cor",0.86575,0.86575,40.63,40.87,8.53,0.0,EQUITY,,2025-03-02,2025-03-02,2024-02-28,2024-02-28,2025-04-21,2025-03-03,2024-02-27,This is in line with the previous dividend.,NEE-PR has just started to pay dividends.
BPOPM,"Popular, Inc. - Popular Capital",0.128,0.128,25.84,,,0.0,EQUITY,"BPOPM does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"BPOPM started paying dividends 17 years ago, but there is no recorded dividend growth in the last 2 years."
NEE-PT,"NextEra Energy, Inc. 7.234% Cor",0.914297,0.914297,45.55,45.31,,0.0,EQUITY,"NEE-PT does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,NEE-PT has just started to pay dividends.
CDZIP,"Cadiz, Inc. - Depositary Shares",0.56,0.56,18.79,19.3912,11.35,0.0,EQUITY,,2025-04-14,2025-04-14,2025-04-04,2025-04-04,2025-05-12,2025-04-15,2025-04-03,Reflecting a 1.79% increase.,"CDZIP started paying dividends 5 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 1.82%."
T-PC,"AT&T Inc. Depositary Shares, ea",0.296875,0.296875,19.07,19.23,6.18,0.0,EQUITY,,2025-04-30,2025-04-30,2025-04-10,2025-04-10,2025-04-23,2025-05-01,2025-04-09,This is in line with the previous dividend.,"T-PC started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 4.28%."
T-PA,"AT&T Inc. Depositary Shares, ea",0.3125,0.3125,20.21,20.26,6.09,0.0,EQUITY,,2025-04-30,2025-04-30,2025-01-10,2025-01-10,2025-04-23,2025-05-01,2025-01-09,This is in line with the previous dividend.,"T-PA started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
ONBPO,Old National Bancorp - Deposita,0.438,0.438,24.86,24.85,7.04,0.0,EQUITY,,2025-05-19,2025-05-19,2025-05-05,2025-05-05,2025-04-21,2025-05-20,2025-05-04,This is in line with the previous dividend.,"ONBPO started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 9.60%."
ONBPP,Old National Bancorp - Deposita,0.438,0.438,24.91,24.9601,7.01,0.0,EQUITY,,2025-05-19,2025-05-19,2025-05-05,2025-05-05,2025-04-21,2025-05-20,2025-05-04,This is in line with the previous dividend.,"ONBPP started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
CNOBP,"ConnectOne Bancorp, Inc. - Depo",0.328,0.328,22.2,22.65,5.79,0.0,EQUITY,,2025-03-02,2025-03-02,2025-02-18,2025-02-18,2025-04-23,2025-03-03,2025-02-17,This is in line with the previous dividend.,"CNOBP started paying dividends 5 years ago, but there is no recorded dividend growth in the last 3 years."
ZIONP,Zions Bancorporation N.A. - Dep,0.370112,0.370112,23.27,23.3121,6.49,0.0,EQUITY,,2025-03-16,2025-03-16,2025-02-28,2025-02-28,2025-04-21,2025-03-17,2025-02-27,Reflecting a 2.19% increase.,"ZIONP started paying dividends 19 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is -5.20%."
WFC-PZ,Wells Fargo & Company Depositar,0.29688,0.29688,19.91,19.68,6.03,0.0,EQUITY,,2025-03-16,2025-03-16,2025-02-28,2025-02-28,2025-04-11,2025-03-17,2025-02-27,This is in line with the previous dividend.,"WFC-PZ started paying dividends 6 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -0.00%."
WFC-PA,Wells Fargo & Company Depositar,0.29375,0.29375,19.22,19.2,6.07,0.0,EQUITY,,2025-03-16,2025-03-16,2025-02-28,2025-02-28,2025-04-11,2025-03-17,2025-02-27,This is in line with the previous dividend.,"WFC-PA started paying dividends 6 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -0.00%."
WFC-PD,Wells Fargo & Company Depositar,0.26563,0.26563,17.68,17.64,6.02,0.0,EQUITY,,2025-03-16,2025-03-16,2025-02-28,2025-02-28,2025-04-11,2025-03-17,2025-02-27,This is in line with the previous dividend.,"WFC-PD started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
CTDD,Qwest Corporation 6.75% Notes d,0.422,0.422,16.7,,,0.0,ETF,"CTDD does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"CTDD started paying dividends 9 years ago, but there is no recorded dividend growth in the last 5 years."
EBCOF,Ebara Corp.,0.143,0.143,0.0,12.0,,33.07,EQUITY,,2017-12-10,2017-12-10,2025-06-27,2025-06-27,2025-05-12,2017-12-11,2025-06-26,This is in line with the previous dividend.,EBCOF has just started to pay dividends.
AEFC,Aegon Funding Company LLC 5.10%,0.319,0.319,19.94,,,0.0,EQUITY,"AEFC does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"AEFC started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
CTO-PA,"CTO Realty Growth, Inc. 6.375% ",0.39844,0.39844,20.49,20.55,7.49,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-13,2025-03-13,2025-05-01,2025-03-31,2025-03-12,This is in line with the previous dividend.,"CTO-PA started paying dividends 5 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is -0.20%."
HWM-P,Howmet Aerospace Inc. $3.75 Pre,0.9375,0.9375,65.75,67.8,,0.0,EQUITY,"HWM-P does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"HWM-P started paying dividends 9 years ago, but there is no recorded dividend growth in the last 5 years."
DX-PC,"Dynex Capital, Inc. 6.900% Seri",0.43125,0.43125,25.62,25.48,6.77,0.0,EQUITY,,2025-04-14,2025-04-14,2025-04-01,2025-04-01,2025-04-21,2025-04-15,2025-03-31,This is in line with the previous dividend.,"DX-PC started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
HACBF,HACHIJUNI BANK,0.1400906,0.1400906,0.0,6.35,3.57,35.84,EQUITY,"HACBF does not have available dividend date information.
",,,,,,,,Reflecting a 38.10% increase.,"HACBF started paying dividends 10 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 61.54%."
CMS-PC,CMS Energy Corporation Deposita,0.2625,0.2625,17.1175,17.22,6.1,0.0,EQUITY,,2025-04-14,2025-04-14,2025-04-01,2025-04-01,2025-04-23,2025-04-15,2025-03-31,This is in line with the previous dividend.,"CMS-PC started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -3.78%."
CMSD,CMS Energy Corporation 5.875% J,0.367,0.367,22.81,,,0.0,EQUITY,"CMSD does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"CMSD started paying dividends 7 years ago, but there is no recorded dividend growth in the last 3 years."
CMSC,CMS Energy Corporation 5.875% J,0.367,0.367,22.4,,,0.0,EQUITY,"CMSC does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"CMSC started paying dividends 8 years ago, but there is no recorded dividend growth in the last 5 years."
FHN-PF,First Horizon Corporation Depos,0.29375,0.29375,17.95,17.8,6.6,0.0,EQUITY,,2025-04-09,2025-04-09,2025-03-26,2025-03-26,2025-04-16,2025-04-10,2025-03-25,This is in line with the previous dividend.,"FHN-PF started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 7.66%."
FHN-PE,First Horizon Corporation Depos,0.40625,0.40625,24.52,24.44,6.65,0.0,EQUITY,,2025-04-09,2025-04-09,2025-03-26,2025-03-26,2025-04-16,2025-04-10,2025-03-25,This is in line with the previous dividend.,"FHN-PE started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -7.37%."
FHN-PC,First Horizon Corporation Depos,0.4125,0.4125,25.1103,25.2,6.55,0.0,EQUITY,,2025-04-30,2025-04-30,2025-04-16,2025-04-16,2025-04-16,2025-05-01,2025-04-15,This is in line with the previous dividend.,"FHN-PC started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
FHN-PB,First Horizon Corporation Depos,0.828125,0.828125,25.1501,25.21,6.57,0.0,EQUITY,,2025-02-02,2025-02-02,2025-01-17,2025-01-17,2025-04-16,2025-02-03,2025-01-16,This is in line with the previous dividend.,"FHN-PB started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
FITBP,Fifth Third Bancorp - Depositar,0.375,0.375,24.41,24.37,6.16,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-27,2025-03-27,2025-04-17,2025-03-31,2025-03-26,This is in line with the previous dividend.,"FITBP started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
FITBO,Fifth Third Bancorp - Depositar,0.309,0.309,21.72,21.57,5.74,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-27,2025-03-27,2025-04-17,2025-03-31,2025-03-26,This is in line with the previous dividend.,"FITBO started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
MTB-PJ,M&T Bank Corporation Depositary,0.46875,0.46875,26.1,26.09,7.19,0.0,EQUITY,,2025-03-16,2025-03-16,2025-03-03,2025-03-03,2025-04-14,2025-03-17,2025-03-02,This is in line with the previous dividend.,MTB-PJ has just started to pay dividends.
MTB-PH,M&T Bank Corporation Perpetual ,0.351563,0.351563,24.12,24.23,5.8,0.0,EQUITY,,2025-03-16,2025-03-16,2025-03-03,2025-03-03,2025-04-14,2025-03-17,2025-03-02,This is in line with the previous dividend.,"MTB-PH started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
NTRSO,Northern Trust Corporation - De,0.294,0.294,19.76,19.69,5.97,0.0,EQUITY,,2025-03-31,2025-03-31,2025-03-14,2025-03-14,2025-04-22,2025-04-01,2025-03-13,This is in line with the previous dividend.,"NTRSO started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
TFC-PI,Truist Financial Corporation De,0.32546,0.32546,22.17,22.26,5.85,0.0,EQUITY,,2025-03-16,2025-03-16,2025-02-14,2025-02-14,2025-04-17,2025-03-17,2025-02-13,Reflecting a -11.42% cut.,TFC-PI has just started to pay dividends.
TFC-PR,Truist Financial Corporation De,0.296875,0.296875,19.53,19.55,6.07,0.0,EQUITY,,2025-03-02,2025-03-02,2025-02-14,2025-02-14,2025-04-17,2025-03-03,2025-02-13,This is in line with the previous dividend.,"TFC-PR started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
TFC-PO,Truist Financial Corporation De,0.328125,0.328125,21.27,21.33,6.15,0.0,EQUITY,,2025-03-02,2025-03-02,2025-02-14,2025-02-14,2025-04-17,2025-03-03,2025-02-13,This is in line with the previous dividend.,"TFC-PO started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -0.87%."
MHGUP,MERITAGE HOSPITALITY GROUP INC ,0.2,0.2,0.0,,,0.0,EQUITY,"MHGUP does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"MHGUP started paying dividends 10 years ago, but there is no recorded dividend growth in the last 5 years."
NPPXF,Nippon Telegraph & Telephone Co,0.018,0.018,0.0,0.97,3.56,38.95,EQUITY,,2019-12-04,2019-12-04,2025-03-28,2025-03-28,2025-05-07,2019-12-05,2025-03-27,Reflecting a 5.56% increase.,NPPXF has just started to pay dividends.
CSWCZ,Capital Southwest Corporation -,0.484,0.484,25.66,,,0.0,EQUITY,"CSWCZ does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"CSWCZ started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is 38.31%."
SCE-PK,Southern California Edison Comp,0.340625,0.340625,22.91,,,0.0,EQUITY,"SCE-PK does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"SCE-PK started paying dividends 10 years ago, but there is no recorded dividend growth in the last 5 years."
SCE-PJ,Southern California Edison Comp,0.335938,0.335938,22.24,22.43,7.05,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,"SCE-PJ started paying dividends 11 years ago, but there is no recorded dividend growth in the last 5 years."
SCE-PG,SCE Trust II Trust Preferred Se,0.31875,0.31875,18.0,,,0.0,EQUITY,"SCE-PG does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,SCE-PG has just started to pay dividends.
SCE-PL,SCE TRUST VI,0.3125,0.3125,17.15,,,0.0,EQUITY,"SCE-PL does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"SCE-PL started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
SCE-PM,SCE Trust VII 7.50% Trust Prefe,0.46875,0.46875,23.0,,,0.0,EQUITY,"SCE-PM does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,SCE-PM has just started to pay dividends.
SCE-PN,SCE Trust VIII 6.95% Trust Pref,0.434375,0.434375,22.71,,,0.0,EQUITY,"SCE-PN does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,SCE-PN has just started to pay dividends.
HAWEM,"Hawaiian Electric Co., Inc.",0.25,0.25,0.0,,,0.0,EQUITY,"HAWEM does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"HAWEM started paying dividends 14 years ago, but there is no recorded dividend growth in the last 5 years."
HBANP,Huntington Bancshares Incorpora,0.281,0.281,17.0988,17.14,6.56,0.0,EQUITY,,2025-04-14,2025-04-14,2025-04-01,2025-04-01,2025-04-17,2025-04-15,2025-03-31,This is in line with the previous dividend.,"HBANP started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -12.89%."
HBANM,Huntington Bancshares Incorpora,0.356,0.356,23.12,23.2499,6.13,0.0,EQUITY,,2025-03-02,2025-03-02,2025-02-14,2025-02-14,2025-04-17,2025-03-03,2025-02-13,This is in line with the previous dividend.,"HBANM started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
HBANL,Huntington Bancshares Incorpora,0.43,0.43,25.1703,25.17,6.83,0.0,EQUITY,,2025-04-14,2025-04-14,2025-04-01,2025-04-01,2025-04-17,2025-04-15,2025-03-31,This is in line with the previous dividend.,"HBANL started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is -16.45%."
HAWLM,"Hawaiian Electric Co., Inc.",0.263,0.263,0.0,,,0.0,EQUITY,"HAWLM does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"HAWLM started paying dividends 14 years ago, but there is no recorded dividend growth in the last 5 years."
HAWLL,"Hawaiian Electric Co., Inc.",0.233,0.233,0.0,,,0.0,EQUITY,"HAWLL does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,HAWLL has just started to pay dividends.
HAWLI,"Hawaiian Electric Co., Inc.",0.238,0.238,14.49,,,0.0,EQUITY,"HAWLI does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"HAWLI started paying dividends 22 years ago, but there is no recorded dividend growth in the last 5 years."
DDT,Dillard's Capital Trust I,0.469,0.469,25.65,,,0.0,EQUITY,"DDT does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"DDT started paying dividends 28 years ago, but there is no recorded dividend growth in the last 5 years."
USB-PS,"U.S. Bancorp Depositary Shares,",0.28125,0.28125,19.14,,,0.0,EQUITY,"USB-PS does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"USB-PS started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
USB-PR,"U.S. Bancorp Depositary Shares,",0.25,0.25,16.55,16.59,6.03,0.0,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-04-16,2025-04-15,2025-03-30,This is in line with the previous dividend.,"USB-PR started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
USB-PQ,"U.S. Bancorp Depositary Shares,",0.234375,0.234375,15.61,15.62,6.0,0.0,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-04-16,2025-04-15,2025-03-30,This is in line with the previous dividend.,"USB-PQ started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
ATMP,iPath Select MLP ETN,0.318,0.318,30.66,,3.34,0.0,ETF,"ATMP does not have available dividend date information.
",,,,,,,,Reflecting a -10.38% cut.,ATMP has just started to pay dividends.
SIGIP,"Selective Insurance Group, Inc.",0.288,0.288,18.13,18.24,6.3,0.0,EQUITY,,2025-03-16,2025-03-16,2025-02-28,2025-02-28,2025-04-29,2025-03-17,2025-02-27,This is in line with the previous dividend.,"SIGIP started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
UEPCO,Union Electric Co.,1.375,1.375,0.0,92.0,5.98,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,"UEPCO started paying dividends 14 years ago, but there is no recorded dividend growth in the last 5 years."
STRRP,"Star Equity Holdings, Inc. - Se",0.25,0.25,9.26,10.0,10.0,0.0,EQUITY,,2025-03-09,2025-03-09,2025-02-28,2025-02-28,2025-05-19,2025-03-10,2025-02-27,This is in line with the previous dividend.,"STRRP started paying dividends 5 years ago, but there is no recorded dividend growth in the last 3 years."
CFG-PH,"Citizens Financial Group, Inc. ",0.460938,0.460938,25.83,25.93,,0.0,EQUITY,"CFG-PH does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,CFG-PH has just started to pay dividends.
CFG-PE,"Citizens Financial Group, Inc. ",0.3125,0.3125,19.35,19.27,6.49,0.0,EQUITY,,2025-04-06,2025-04-06,2025-03-21,2025-03-21,2025-04-16,2025-04-07,2025-03-20,This is in line with the previous dividend.,"CFG-PE started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
CHSCO,CHS Inc,0.492,0.492,26.0,26.21,7.51,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-17,2025-03-17,2025-04-01,2025-03-31,2025-03-16,This is in line with the previous dividend.,"CHSCO started paying dividends 13 years ago, but there is no recorded dividend growth in the last 5 years."
CHSCN,CHS Inc - Preferred,0.444,0.444,25.0,25.07,7.08,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-17,2025-03-17,2025-04-01,2025-03-31,2025-03-16,This is in line with the previous dividend.,"CHSCN started paying dividends 12 years ago, but there is no recorded dividend growth in the last 5 years."
CHSCM,CHS Inc,0.422,0.422,24.53,24.64,6.85,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-17,2025-03-17,2025-04-01,2025-03-31,2025-03-16,This is in line with the previous dividend.,"CHSCM started paying dividends 12 years ago, but there is no recorded dividend growth in the last 5 years."
CHSCL,CHS Inc,0.469,0.469,25.89,25.92,7.23,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-17,2025-03-17,2025-04-01,2025-03-31,2025-03-16,This is in line with the previous dividend.,"CHSCL started paying dividends 11 years ago, but there is no recorded dividend growth in the last 5 years."
AGM-PG,Federal Agricultural Mortgage C,0.304688,0.304688,19.2953,19.17,6.36,0.0,EQUITY,,2025-04-16,2025-04-16,2025-04-01,2025-04-01,2025-05-05,2025-04-17,2025-03-31,This is in line with the previous dividend.,"AGM-PG started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 15.83%."
AGM-PF,Federal Agricultural Mortgage C,0.328125,0.328125,20.4719,20.6149,6.37,0.0,EQUITY,,2025-04-16,2025-04-16,2025-04-01,2025-04-01,2025-05-05,2025-04-17,2025-03-31,This is in line with the previous dividend.,"AGM-PF started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 9.57%."
AGM-PE,Federal Agricultural Mortgage C,0.359375,0.359375,22.2407,22.3,6.45,0.0,EQUITY,,2025-04-16,2025-04-16,2025-04-01,2025-04-01,2025-05-05,2025-04-17,2025-03-31,This is in line with the previous dividend.,"AGM-PE started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 9.57%."
PREJF,PartnerRe Ltd.,0.305,0.305,17.17,17.44,6.99,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,PREJF has just started to pay dividends.
ALL-PJ,Allstate Corporation (The) Depo,0.460938,0.460938,26.17,26.2,7.04,0.0,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-04-30,2025-04-15,2025-03-30,This is in line with the previous dividend.,"ALL-PJ started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is -21.75%."
ALL-PI,Allstate Corporation (The) Depo,0.296875,0.296875,19.45,19.53,6.08,0.0,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-04-30,2025-04-15,2025-03-30,This is in line with the previous dividend.,"ALL-PI started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
LNC-PD,Lincoln National Corporation De,0.5625,0.5625,26.6,26.67,8.44,0.0,EQUITY,,2025-02-28,2025-02-28,2025-02-14,2025-02-14,2025-05-08,2025-03-01,2025-02-13,This is in line with the previous dividend.,"LNC-PD started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
MSEXP,Middlesex Water Co.,1.75,1.75,0.0,,,0.0,EQUITY,"MSEXP does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"MSEXP started paying dividends 8 years ago, but there is no recorded dividend growth in the last 5 years."
SNV-PE,Synovus Financial Corp. 5.875% ,0.52481,0.52481,25.36,25.455,7.63,0.0,EQUITY,,2025-03-31,2025-03-31,2025-03-14,2025-03-14,2025-04-16,2025-04-01,2025-03-13,This is in line with the previous dividend.,"SNV-PE started paying dividends 7 years ago, and dividends have been growing for 6 years. Dividend Growth Rate for the last 5 years is 7.40%."
VLYPN,Valley National Bancorp - 8.250,0.516,0.516,25.07,25.2,8.18,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-14,2025-03-14,2025-04-24,2025-03-31,2025-03-13,This is in line with the previous dividend.,VLYPN has just started to pay dividends.
HWCPZ,Hancock Whitney Corporation - 6,0.391,0.391,24.4,,,0.0,EQUITY,"HWCPZ does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"HWCPZ started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -2.64%."
BANFP,BancFirst Corporation - 7.2% Cu,0.45,0.45,25.99,,,0.0,EQUITY,"BANFP does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"BANFP started paying dividends 22 years ago, but there is no recorded dividend growth in the last 5 years."
SF-PD,Stifel Financial Corporation De,0.28125,0.28125,17.25,17.27,6.51,0.0,EQUITY,,2025-03-16,2025-03-16,2025-03-03,2025-03-03,2025-04-22,2025-03-17,2025-03-02,This is in line with the previous dividend.,"SF-PD started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
RJF-PB,"Raymond James Financial, Inc. D",0.398438,0.398438,25.21,25.1501,6.34,0.0,EQUITY,,2025-03-31,2025-03-31,2025-03-14,2025-03-14,2025-04-23,2025-04-01,2025-03-13,This is in line with the previous dividend.,"RJF-PB started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
SF-PC,Stifel Financial Corporation De,0.382813,0.382813,23.51,23.5,6.52,0.0,EQUITY,,2025-03-16,2025-03-16,2025-03-03,2025-03-03,2025-04-22,2025-03-17,2025-03-02,This is in line with the previous dividend.,"SF-PC started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -4.95%."
RWAYL,Runway Growth Finance Corp. - 7,0.469,0.469,25.09,,,0.0,EQUITY,"RWAYL does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"RWAYL started paying dividends 4 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 38.38%."
RWAYZ,Runway Growth Finance Corp. - 8,0.5,0.5,25.2,,,0.0,EQUITY,"RWAYZ does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"RWAYZ started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
HTFC,Horizon Technology Finance Corp,0.391,0.391,24.3576,,,0.0,EQUITY,"HTFC does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"HTFC started paying dividends 4 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is -5.27%."
HTFB,Horizon Technology Finance Corp,0.305,0.305,24.7,25.23,,0.0,EQUITY,"HTFB does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"HTFB started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
BWSN,"Babcock & Wilcox Enterprises, I",0.508,0.508,21.15,,,0.0,EQUITY,"BWSN does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"BWSN started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 3.66%."
BW-PA,"Babcock & Wilcox Enterprises, I",0.484375,0.484375,7.83,7.22,25.87,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-21,2025-03-21,2025-05-07,2025-03-31,2025-03-20,This is in line with the previous dividend.,"BW-PA started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
BWNB,"Babcock & Wilcox Enterprises, I",0.406,0.406,18.53,,,0.0,EQUITY,"BWNB does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"BWNB started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
KREF-PA,KKR Real Estate Finance Trust I,0.40625,0.40625,19.11,19.322,8.15,0.0,EQUITY,,2025-03-13,2025-03-13,2025-02-28,2025-02-28,2025-04-21,2025-03-14,2025-02-27,This is in line with the previous dividend.,"KREF-PA started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 11.13%."
BA-PA,Boeing Company (The) Depositary,0.75,0.75,59.08,,,0.0,EQUITY,"BA-PA does not have available dividend date information.
",,,,,,,,Reflecting a 16.67% increase.,BA-PA has just started to pay dividends.
ASB-PF,Associated Banc-Corp Depositary,0.351563,0.351563,19.91,20.08,7.0,0.0,EQUITY,,2025-03-16,2025-03-16,2025-03-03,2025-03-03,2025-04-24,2025-03-17,2025-03-02,This is in line with the previous dividend.,"ASB-PF started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
ASBA,,0.414,0.414,24.09,,,0.0,EQUITY,"ASBA does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"ASBA started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is -9.99%."
XOMAP,XOMA Royalty Corporation - 8.62,0.539,0.539,25.91,25.9283,8.32,0.0,EQUITY,,2025-04-14,2025-04-14,2025-04-03,2025-04-03,2025-05-07,2025-04-15,2025-04-02,This is in line with the previous dividend.,"XOMAP started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
XOMAO,XOMA Royalty Corporation - Depo,0.523,0.523,25.39,25.47,8.22,0.0,EQUITY,,2025-04-14,2025-04-14,2025-04-03,2025-04-03,2025-05-07,2025-04-15,2025-04-02,This is in line with the previous dividend.,"XOMAO started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -1.61%."
GAB-PK,"Gabelli Equity Trust, Inc. (The",0.3125,0.3125,21.24,21.15,5.91,0.0,EQUITY,,,,,,,,,This is in line with the previous dividend.,"GAB-PK started paying dividends 6 years ago, but there is no recorded dividend growth in the last 5 years."
ELCPF,EDP-ENERGIAS DE PORTUGAL SA,0.21,0.21,0.0,3.49,6.01,75.14,EQUITY,,2006-04-27,2006-04-27,2024-05-06,2024-05-06,2025-05-09,2006-04-28,2024-05-05,This is in line with the previous dividend.,ELCPF has just started to pay dividends.
